device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,Image
14502356341,496268428285,"(0.876018762588501, 0.9375229477882385)","(208.2122039794922, 28.49665069580078, 3.5349395275115967)",1,5.908111572265625,1,"(-18.778528213500977, 4.290623664855957, 685.6690673828125)",1,"(0.8825236558914185, 1.0271546840667725)","(211.8029022216797, 2.3442628383636475, -5.983773708343506)",1,5.858795166015625,1,"(45.47372055053711, 3.3881676197052, 684.4228515625)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502373334,496268445273,"(0.8778843879699707, 0.9300666451454163)","(209.2420654296875, 30.67222785949707, 4.3267927169799805)",1,5.91473388671875,1,"(-18.753263473510742, 4.297093868255615, 685.616455078125)",1,"(0.8809746503829956, 1.0256471633911133)","(210.9479217529297, 2.784114360809326, -5.823660850524902)",1,5.8519134521484375,1,"(45.50543212890625, 3.3808634281158447, 684.3546142578125)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502390204,496268462137,"(0.8778517246246338, 0.9442085027694702)","(209.22401428222656, 26.545988082885742, 2.8249459266662598)",1,5.8769073486328125,1,"(-18.741233825683594, 4.312171936035156, 685.4095458984375)",1,"(0.8776051998138428, 1.0262041091918945)","(209.0879364013672, 2.6216843128204346, -5.8828325271606445)",1,5.855804443359375,1,"(45.518157958984375, 3.378690719604492, 684.1300659179688)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502406265,496268478191,"(0.7461426854133606, 0.925471305847168)","(136.52017211914062, 32.01306915283203, 4.814780235290527)",1,5.8175048828125,1,"(-19.144453048706055, 4.4218645095825195, 684.79736328125)",1,"(0.78408282995224, 0.9697532057762146)","(157.46331787109375, 19.092641830444336, 0.11213404685258865)",1,5.8426513671875,1,"(45.074398040771484, 3.4946417808532715, 683.6399536132812)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502423300,496268495223,"(0.6551060676574707, 0.8920497894287109)","(86.26765441894531, 41.76467514038086, 8.364102363586426)",1,5.794647216796875,1,"(-19.47220802307129, 4.515258312225342, 683.0473022460938)",1,"(0.6796759963035583, 0.9088023900985718)","(99.83039093017578, 36.87664794921875, 6.584954261779785)",1,5.8695831298828125,1,"(44.48350524902344, 3.6349146366119385, 681.7405395507812)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502440120,496268512042,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5538046360015869, 0.819677472114563)","(30.34891128540039, 62.88120651245117, 16.04986000061035)",1,5.9120635986328125,1,"(43.82769775390625, 3.7533750534057617, 681.1668090820312)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502456181,496268528102,"(0.5396686792373657, 0.8311177492141724)","(22.545841217041016, 59.54318618774414, 14.834895133972168)",1,5.705902099609375,1,"(-20.038331985473633, 4.722670078277588, 683.7123413085938)",1,"(0.541583776473999, 0.7970746159553528)","(23.602975845336914, 69.47618103027344, 18.450273513793945)",1,5.935302734375,1,"(43.856449127197266, 3.7743632793426514, 682.4976196289062)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502473266,496268545186,"(0.5367842316627502, 0.815983235836029)","(20.95359992980957, 63.95909881591797, 16.442161560058594)",1,5.754486083984375,1,"(-20.072261810302734, 4.726898193359375, 684.5114135742188)",1,"(0.5391794443130493, 0.7910507321357727)","(22.2757511138916, 71.2337875366211, 19.089977264404297)",1,5.93878173828125,1,"(43.93265151977539, 3.780770778656006, 683.3858032226562)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502490132,496268562050,"(0.5345612168312073, 0.8032185435295105)","(19.726516723632812, 67.68354034423828, 17.797758102416992)",1,5.720977783203125,1,"(-20.09268569946289, 4.732513427734375, 684.3890991210938)",1,"(0.5431684851646423, 0.7562825679779053)","(24.477739334106445, 81.37834167480469, 22.782230377197266)",1,5.98272705078125,1,"(43.9373779296875, 3.7836246490478516, 683.252685546875)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502506101,496268578018,"(0.5317054986953735, 0.7853990793228149)","(18.150150299072266, 72.88280487060547, 19.690166473388672)",1,5.7035369873046875,1,"(-20.114938735961914, 4.729074954986572, 683.89306640625)",1,"(0.5465204119682312, 0.7382698655128479)","(26.328022003173828, 86.63400268554688, 24.695144653320312)",1,5.9630889892578125,1,"(43.900306701660156, 3.7786028385162354, 682.7679443359375)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502523232,496268595148,"(0.5347920060157776, 0.7751449942588806)","(19.853879928588867, 75.87470245361328, 20.779138565063477)",1,5.6736907958984375,1,"(-20.13939666748047, 4.716211318969727, 683.703369140625)",1,"(0.5483881831169128, 0.727289617061615)","(27.359004974365234, 89.83778381347656, 25.86124610900879)",1,5.9513397216796875,1,"(43.875816345214844, 3.773782730102539, 682.576416015625)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502540144,496268612059,"(0.534213125705719, 0.7713335752487183)","(19.534345626831055, 76.98676300048828, 21.18387794494629)",1,5.623504638671875,1,"(-20.190290451049805, 4.699123859405518, 683.6900634765625)",1,"(0.5509642362594604, 0.714516282081604)","(28.780982971191406, 93.56473541259766, 27.21779441833496)",1,5.921295166015625,1,"(43.84709548950195, 3.7719972133636475, 682.5718383789062)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502556021,496268627933,"(0.5355897545814514, 0.7674869298934937)","(20.294279098510742, 78.10914611816406, 21.59239959716797)",1,5.5535430908203125,1,"(-20.235166549682617, 4.675622463226318, 683.8099975585938)",1,"(0.5529652833938599, 0.7048664093017578)","(29.88556480407715, 96.3803482055664, 28.24257469177246)",1,5.8854522705078125,1,"(43.82332992553711, 3.765441656112671, 682.6931762695312)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502573198,496268645107,"(0.5319553017616272, 0.7590605616569519)","(18.288028717041016, 80.56778717041016, 22.48726463317871)",1,5.5196685791015625,1,"(-20.254640579223633, 4.673759460449219, 683.8477783203125)",1,"(0.5536038279533386, 0.6974506378173828)","(30.23805046081543, 98.54408264160156, 29.03009796142578)",1,5.8638763427734375,1,"(43.813568115234375, 3.7660257816314697, 682.7367553710938)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502590060,496268661965,"(0.532810628414154, 0.7649387121200562)","(18.760154724121094, 78.85267639160156, 21.863021850585938)",1,5.4380340576171875,1,"(-20.269926071166992, 4.676266670227051, 683.8837280273438)",1,"(0.5530381798744202, 0.6900064945220947)","(29.925800323486328, 100.71611022949219, 29.820655822753906)",1,5.78558349609375,1,"(43.80207061767578, 3.7560205459594727, 682.7741088867188)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502605941,496268677845,"(0.510919988155365, 0.7221556305885315)","(6.676454067230225, 91.33573913574219, 26.406553268432617)",1,5.384063720703125,1,"(-20.349079132080078, 4.798722743988037, 683.7896118164062)",1,"(0.53575199842453, 0.6396353840827942)","(20.383804321289062, 115.4132080078125, 35.16996765136719)",1,5.7305755615234375,1,"(43.700862884521484, 3.8527510166168213, 682.6868286132812)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502623164,496268695066,"(0.4675496220588684, 0.6164814829826355)","(-17.26412010192871, 122.16893005371094, 37.6289176940918)",1,5.344024658203125,1,"(-20.429655075073242, 5.052577972412109, 683.50927734375)",1,"(0.5093213319778442, 0.5406696200370789)","(5.793946266174316, 144.2890625, 45.679901123046875)",1,5.689910888671875,1,"(43.465946197509766, 4.095880508422852, 682.4174194335938)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
