device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
5767719370,922076487438,"(0.49170494079589844, 0.20011192560195923)","(-3.9303133487701416, 243.65576171875, 81.84642028808594)",1,3.4273223876953125,1,"(-35.19040298461914, 74.46086120605469, 553.4119262695312)",1,"(0.49720072746276855, 0.17393025755882263)","(-0.8966598510742188, 251.29493713378906, 84.62687683105469)",1,3.51849365234375,1,"(26.665390014648438, 83.42700958251953, 555.0844116210938)",1
5767736240,922076504308,"(0.4910767674446106, 0.19853690266609192)","(-4.277071475982666, 244.11532592773438, 82.01368713378906)",1,3.4276275634765625,1,"(-35.22798156738281, 74.40643310546875, 553.00537109375)",1,"(0.4954095780849457, 0.17631913721561432)","(-1.8853570222854614, 250.59793090820312, 84.3731689453125)",1,3.5203857421875,1,"(26.598726272583008, 83.4052505493164, 554.7485961914062)",1
5767752719,922076520787,"(0.49037060141563416, 0.20186848938465118)","(-4.666891098022461, 243.1432342529297, 81.6598892211914)",1,3.4257354736328125,1,"(-35.22913360595703, 74.4163589477539, 552.8626708984375)",1,"(0.49213817715644836, 0.17849010229110718)","(-3.6911840438842773, 249.9644775390625, 84.14261627197266)",1,3.520111083984375,1,"(26.58565902709961, 83.4161376953125, 554.6224365234375)",1
5767769284,922076537353,"(0.4907480776309967, 0.20637686550617218)","(-4.4585065841674805, 241.8278045654297, 81.18110656738281)",1,3.42047119140625,1,"(-35.19157791137695, 74.46155548095703, 552.7034912109375)",1,"(0.4948503375053406, 0.17718468606472015)","(-2.194047689437866, 250.34535217285156, 84.28125762939453)",1,3.5147552490234375,1,"(26.607582092285156, 83.4305419921875, 554.452880859375)",1
5767786160,922076554229,"(0.49239811301231384, 0.20242685079574585)","(-3.5476887226104736, 242.98031616210938, 81.6005859375)",1,3.409820556640625,1,"(-35.09453582763672, 74.4810562133789, 552.5904541015625)",1,"(0.49589982628822327, 0.18087352812290192)","(-1.6147223711013794, 249.26905822753906, 83.8895034790039)",1,3.518096923828125,1,"(26.692493438720703, 83.43888092041016, 554.3338623046875)",1
5767802588,922076570657,"(0.4908645451068878, 0.20284953713417053)","(-4.394218921661377, 242.85699462890625, 81.55570983886719)",1,3.42706298828125,1,"(-35.02992248535156, 74.55830383300781, 552.7486572265625)",1,"(0.4939803183078766, 0.1788579523563385)","(-2.6742842197418213, 249.85716247558594, 84.10355377197266)",1,3.536895751953125,1,"(26.779537200927734, 83.4863510131836, 554.4739990234375)",1
5767819200,922076587269,"(0.49172720313072205, 0.20378366112709045)","(-3.9180517196655273, 242.58444213867188, 81.45651245117188)",1,3.433135986328125,1,"(-34.9238166809082, 74.67108917236328, 552.660888671875)",1,"(0.49256619811058044, 0.18254075944423676)","(-3.4548957347869873, 248.7825927734375, 83.71243286132812)",1,3.528717041015625,1,"(26.89042854309082, 83.56045532226562, 554.3452758789062)",1
5767836080,922076604150,"(0.4900628924369812, 0.20240576565265656)","(-4.836721420288086, 242.98646545410156, 81.60282897949219)",1,3.42816162109375,1,"(-34.84870147705078, 74.68460083007812, 552.366943359375)",1,"(0.49299079179763794, 0.18285740911960602)","(-3.220540761947632, 248.69020080566406, 83.67884063720703)",1,3.5291900634765625,1,"(26.92401123046875, 83.54073333740234, 554.064697265625)",1
5767852553,922076620623,"(0.4910069704055786, 0.20558905601501465)","(-4.315621852874756, 242.05763244628906, 81.2647705078125)",1,3.4271392822265625,1,"(-34.824764251708984, 74.66339111328125, 552.2020874023438)",1,"(0.49253737926483154, 0.18119901418685913)","(-3.4708352088928223, 249.17405700683594, 83.8549575805664)",1,3.536651611328125,1,"(26.931808471679688, 83.5038833618164, 553.9105224609375)",1
5767869116,922076637186,"(0.4904853403568268, 0.20382049679756165)","(-4.603565216064453, 242.5736846923828, 81.45262908935547)",1,3.424835205078125,1,"(-34.80263900756836, 74.64164733886719, 552.1715087890625)",1,"(0.49380338191986084, 0.18658098578453064)","(-2.7719955444335938, 247.60374450683594, 83.28339385986328)",1,3.556671142578125,1,"(26.95066261291504, 83.4583969116211, 553.87060546875)",1
