device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
6239510459,922548285894,"(0.6447191834449768, 0.35352420806884766)","(80.53402709960938, 198.89364624023438, 65.55440521240234)",1,2.529998779296875,1,"(-36.60151290893555, 65.0845718383789, 580.0586547851562)",1,"(0.6219378709793091, 0.34011027216911316)","(67.95869445800781, 202.80752563476562, 66.97888946533203)",1,2.62744140625,1,"(25.735488891601562, 72.76555633544922, 581.5382080078125)",1
6239526823,922548302258,"(0.6426907777786255, 0.3588966727256775)","(79.4143295288086, 197.3261260986328, 64.98384857177734)",1,2.5275115966796875,1,"(-36.62364959716797, 65.08413696289062, 580.1998901367188)",1,"(0.6214845776557922, 0.34284743666648865)","(67.7085189819336, 202.0088653564453, 66.6882095336914)",1,2.616455078125,1,"(25.723922729492188, 72.77218627929688, 581.6922607421875)",1
6239543471,922548318906,"(0.6414797902107239, 0.3560579717159271)","(78.74591064453125, 198.15438842773438, 65.28529357910156)",1,2.5552825927734375,1,"(-36.64552307128906, 65.06977844238281, 580.3235473632812)",1,"(0.6203787922859192, 0.3399229943752289)","(67.09807586669922, 202.8621826171875, 66.998779296875)",1,2.6286163330078125,1,"(25.713590621948242, 72.76570129394531, 581.8290405273438)",1
6239560379,922548335815,"(0.6443436741828918, 0.3520851135253906)","(80.32681274414062, 199.3135528564453, 65.70721435546875)",1,2.5527191162109375,1,"(-36.65350341796875, 65.04493713378906, 580.34619140625)",1,"(0.6207120418548584, 0.33927926421165466)","(67.28201293945312, 203.04998779296875, 67.06719207763672)",1,2.6259613037109375,1,"(25.707839965820312, 72.74993133544922, 581.8494873046875)",1
6239576789,922548352225,"(0.6437540650367737, 0.35732540488243103)","(80.0013198852539, 197.78457641601562, 65.15067291259766)",1,2.5500640869140625,1,"(-36.65607452392578, 65.02006530761719, 580.2813720703125)",1,"(0.6214654445648193, 0.34312838315963745)","(67.69789123535156, 201.92694091796875, 66.65841674804688)",1,2.6344757080078125,1,"(25.70244789123535, 72.72827911376953, 581.788818359375)",1
6239593387,922548368823,"(0.641943097114563, 0.3584258556365967)","(79.00165557861328, 197.46348571777344, 65.03382110595703)",1,2.553375244140625,1,"(-36.659427642822266, 64.99526977539062, 580.1032104492188)",1,"(0.6209260821342468, 0.34422317147254944)","(67.40017700195312, 201.6074981689453, 66.54212188720703)",1,2.6429290771484375,1,"(25.672739028930664, 72.6943359375, 581.5860595703125)",1
6239610299,922548385735,"(0.6415196657180786, 0.359829843044281)","(78.76795196533203, 197.0538330078125, 64.88471221923828)",1,2.562744140625,1,"(-36.67411422729492, 64.98623657226562, 579.8842163085938)",1,"(0.6216610074043274, 0.34243953227996826)","(67.80582427978516, 202.12791442871094, 66.7315444946289)",1,2.662109375,1,"(25.632362365722656, 72.6872787475586, 581.3905639648438)",1
6239626658,922548402095,"(0.6425949931144714, 0.3592860698699951)","(79.36152648925781, 197.21249389648438, 64.94249725341797)",1,2.5751800537109375,1,"(-36.70249938964844, 64.9926528930664, 579.8582763671875)",1,"(0.6233618259429932, 0.34071266651153564)","(68.7447509765625, 202.63177490234375, 66.91492462158203)",1,2.6510162353515625,1,"(25.590503692626953, 72.69221496582031, 581.34521484375)",1
6239643303,922548418740,"(0.6403247117996216, 0.3573715090751648)","(78.10830688476562, 197.77113342285156, 65.1457748413086)",1,2.5866241455078125,1,"(-36.765411376953125, 65.00627899169922, 580.0933837890625)",1,"(0.622298002243042, 0.3461533188819885)","(68.15747833251953, 201.04434204101562, 66.33712768554688)",1,2.6611328125,1,"(25.551767349243164, 72.7130126953125, 581.6327514648438)",1
6239660219,922548435656,"(0.6394086480140686, 0.3612644076347351)","(77.60265350341797, 196.63526916503906, 64.73235321044922)",1,2.597625732421875,1,"(-36.86249542236328, 65.02790069580078, 580.4603271484375)",1,"(0.6226573586463928, 0.3453443646430969)","(68.35588836669922, 201.28038024902344, 66.42304229736328)",1,2.691162109375,1,"(25.511709213256836, 72.75188446044922, 581.9627685546875)",1
