device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
6446477840,922755256516,"(0.4319280683994293, 0.7301414012908936)","(-36.92734909057617, 89.00570678710938, 25.55841636657715)",1,2.375244140625,1,"(-33.4076042175293, 61.90629959106445, 557.96484375)",1,"(0.4091050922870636, 0.7222893238067627)","(-49.52571487426758, 91.29671478271484, 26.392276763916016)",1,2.4384765625,1,"(28.53728485107422, 71.2164306640625, 559.4990234375)",1
6446494540,922755273217,"(0.43028196692466736, 0.7324379682540894)","(-37.83599853515625, 88.33563232421875, 25.31451988220215)",1,2.3712005615234375,1,"(-33.396114349365234, 61.86359786987305, 557.60546875)",1,"(0.40437015891075134, 0.7233378291130066)","(-52.13943099975586, 90.99082946777344, 26.28093719482422)",1,2.4049835205078125,1,"(28.511703491210938, 71.1646957397461, 559.0227661132812)",1
6446511741,922755290418,"(0.4311504662036896, 0.7308915257453918)","(-37.35658264160156, 88.78684997558594, 25.478761672973633)",1,2.3550872802734375,1,"(-33.41059494018555, 61.88508224487305, 557.7930908203125)",1,"(0.4063916504383087, 0.7234300374984741)","(-51.023563385009766, 90.96393585205078, 26.27116584777832)",1,2.4175262451171875,1,"(28.532575607299805, 71.19409942626953, 559.189697265625)",1
6446527806,922755306483,"(0.4290536940097809, 0.7328713536262512)","(-38.51404571533203, 88.20917510986328, 25.26849365234375)",1,2.3635101318359375,1,"(-33.399566650390625, 61.8751106262207, 557.8304443359375)",1,"(0.4054787755012512, 0.7265239953994751)","(-51.5274658203125, 90.06114959716797, 25.942596435546875)",1,2.4360809326171875,1,"(28.550491333007812, 71.19539642333984, 559.2207641601562)",1
6446544455,922755323132,"(0.4286808669567108, 0.7288889288902283)","(-38.71982955932617, 89.37112426757812, 25.69140625)",1,2.3683929443359375,1,"(-33.387264251708984, 61.86884689331055, 557.830810546875)",1,"(0.40577539801597595, 0.7294965386390686)","(-51.363731384277344, 89.19384765625, 25.626874923706055)",1,2.4534912109375,1,"(28.57386589050293, 71.18143463134766, 559.2182006835938)",1
6446561661,922755340339,"(0.43059414625167847, 0.7354496717453003)","(-37.663658142089844, 87.45683288574219, 24.994674682617188)",1,2.3853759765625,1,"(-33.379493713378906, 61.87355041503906, 557.9375)",1,"(0.40441885590553284, 0.7242050170898438)","(-52.11252212524414, 90.73779296875, 26.188844680786133)",1,2.4318389892578125,1,"(28.594627380371094, 71.18116760253906, 559.319091796875)",1
6446577772,922755356450,"(0.43318209052085876, 0.73075932264328)","(-36.235137939453125, 88.82543182373047, 25.492794036865234)",1,2.36663818359375,1,"(-33.37803649902344, 61.85645294189453, 557.9900512695312)",1,"(0.402325838804245, 0.7238526940345764)","(-53.26790237426758, 90.840576171875, 26.226282119750977)",1,2.4429931640625,1,"(28.602996826171875, 71.15943145751953, 559.3679809570312)",1
6446594370,922755373049,"(0.4298762381076813, 0.723800539970398)","(-38.06000518798828, 90.85582733154297, 26.231782913208008)",1,2.3622894287109375,1,"(-33.38047790527344, 61.81671905517578, 557.9739990234375)",1,"(0.4029969274997711, 0.7300716638565063)","(-52.897464752197266, 89.02601623535156, 25.565839767456055)",1,2.4490509033203125,1,"(28.605979919433594, 71.12934112548828, 559.3440551757812)",1
6446611581,922755390260,"(0.4319915771484375, 0.7255721688270569)","(-36.892311096191406, 90.33889770507812, 26.043664932250977)",1,2.3733367919921875,1,"(-33.381771087646484, 61.77195739746094, 557.968994140625)",1,"(0.40704482793807983, 0.7230381965637207)","(-50.66299057006836, 91.0782470703125, 26.312753677368164)",1,2.4271087646484375,1,"(28.597888946533203, 71.07963562011719, 559.3464965820312)",1
6446627642,922755406321,"(0.4315567910671234, 0.7281686067581177)","(-37.132320404052734, 89.58130645751953, 25.767919540405273)",1,2.3705291748046875,1,"(-33.39559555053711, 61.76089859008789, 558.0205688476562)",1,"(0.40611010789871216, 0.7210296988487244)","(-51.17896270751953, 91.66427612304688, 26.526050567626953)",1,2.4177703857421875,1,"(28.59903907775879, 71.06827545166016, 559.3897705078125)",1
6446644286,922755422965,"(0.4303657114505768, 0.7290555238723755)","(-37.789764404296875, 89.32251739501953, 25.6737060546875)",1,2.370361328125,1,"(-33.412689208984375, 61.753196716308594, 558.1004638671875)",1,"(0.4040257930755615, 0.7198427319526672)","(-52.32951354980469, 92.01060485839844, 26.6520938873291)",1,2.4144134521484375,1,"(28.589174270629883, 71.0491714477539, 559.4906005859375)",1
