device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
7322535348,923631327747,"(0.5207175016403198, 0.48177310824394226)","(12.084748268127441, 161.47369384765625, 51.93461990356445)",1,3.78558349609375,1,"(-86.76886749267578, -51.38447952270508, 774.1340942382812)",1,"(0.5088613033294678, 0.48862358927726746)","(5.540011882781982, 159.47488403320312, 51.207096099853516)",1,4.32666015625,1,"(-28.488197326660156, -51.39169692993164, 778.4639282226562)",1
7322552057,923631344456,"(0.5211980938911438, 0.47949570417404175)","(12.350037574768066, 162.13816833496094, 52.176448822021484)",1,3.763641357421875,1,"(-86.6627197265625, -51.28584289550781, 773.68408203125)",1,"(0.5070591568946838, 0.4889846444129944)","(4.545308589935303, 159.36952209472656, 51.168758392333984)",1,4.2965087890625,1,"(-28.40971565246582, -51.27509689331055, 778.0275268554688)",1
7322568504,923631360903,"(0.5188617706298828, 0.4875918924808502)","(11.060321807861328, 159.77589416503906, 51.31666564941406)",1,3.775970458984375,1,"(-86.58983612060547, -51.19829559326172, 773.2202758789062)",1,"(0.5122613906860352, 0.4972219467163086)","(7.416894912719727, 156.96604919433594, 50.29399871826172)",1,4.269012451171875,1,"(-28.37068748474121, -51.163021087646484, 777.5819091796875)",1
7322585217,923631377616,"(0.521721363067627, 0.4939591586589813)","(12.638819694519043, 157.91810607910156, 50.640464782714844)",1,3.7972412109375,1,"(-86.60613250732422, -51.17500686645508, 773.1061401367188)",1,"(0.5111143589019775, 0.49358707666397095)","(6.783759593963623, 158.02662658691406, 50.68000793457031)",1,4.2655181884765625,1,"(-28.381488800048828, -51.13200378417969, 777.4442749023438)",1
7322601972,923631394372,"(0.5197660326957703, 0.48997896909713745)","(11.559500694274902, 159.0794219970703, 51.063167572021484)",1,3.7947235107421875,1,"(-86.6748046875, -51.17188262939453, 772.8836669921875)",1,"(0.5122491121292114, 0.4954746663570404)","(7.4101338386535645, 157.4759063720703, 50.4794921875)",1,4.276580810546875,1,"(-28.462139129638672, -51.124298095703125, 777.2279052734375)",1
7322618424,923631410825,"(0.5174124240875244, 0.48619645833969116)","(10.260315895080566, 160.1830596923828, 51.46479797363281)",1,3.79638671875,1,"(-86.74211120605469, -51.182491302490234, 772.5263061523438)",1,"(0.5052875280380249, 0.5040080547332764)","(3.5672926902770996, 154.98605346679688, 49.57331085205078)",1,4.3003082275390625,1,"(-28.54778480529785, -51.141178131103516, 776.88916015625)",1
7322635087,923631427488,"(0.5185126662254333, 0.48789316415786743)","(10.86766529083252, 159.68801879882812, 51.284645080566406)",1,3.8038482666015625,1,"(-86.78890228271484, -51.20587158203125, 772.4837646484375)",1,"(0.5054868459701538, 0.48927533626556396)","(3.677330493927002, 159.2847137451172, 51.1378288269043)",1,4.2661895751953125,1,"(-28.59614372253418, -51.18784713745117, 776.8392333984375)",1
7322651888,923631444289,"(0.5185085535049438, 0.48767685890197754)","(10.865341186523438, 159.7510986328125, 51.307613372802734)",1,3.8118133544921875,1,"(-86.83824157714844, -51.21885299682617, 772.5206909179688)",1,"(0.5101000666618347, 0.484865665435791)","(6.223875999450684, 160.57135009765625, 51.60615158081055)",1,4.2863006591796875,1,"(-28.639516830444336, -51.22273254394531, 776.8661499023438)",1
7322668344,923631460745,"(0.521493673324585, 0.4863227605819702)","(12.513163566589355, 160.14620971679688, 51.45148468017578)",1,3.8193206787109375,1,"(-86.80296325683594, -51.16327667236328, 772.3157348632812)",1,"(0.5060665011405945, 0.4904753565788269)","(3.9973089694976807, 158.9345703125, 51.01041030883789)",1,4.3126220703125,1,"(-28.61701011657715, -51.17787170410156, 776.6785888671875)",1
7322684957,923631477359,"(0.521181046962738, 0.49059218168258667)","(12.340596199035645, 158.90048217773438, 50.9980583190918)",1,3.814849853515625,1,"(-86.77062225341797, -51.11845397949219, 772.2695922851562)",1,"(0.50810706615448, 0.5024217367172241)","(5.123711109161377, 155.4489288330078, 49.741729736328125)",1,4.2762603759765625,1,"(-28.598926544189453, -51.11045837402344, 776.6195068359375)",1
7322701804,923631494206,"(0.5219830870628357, 0.49267828464508057)","(12.783303260803223, 158.2918243408203, 50.776458740234375)",1,3.823272705078125,1,"(-86.73890686035156, -51.06686019897461, 772.2388305664062)",1,"(0.5072950124740601, 0.5025584697723389)","(4.6754326820373535, 155.40899658203125, 49.72722244262695)",1,4.2845001220703125,1,"(-28.574281692504883, -51.06443786621094, 776.5975341796875)",1
7322718264,923631510666,"(0.5155002474784851, 0.4923655390739441)","(9.204771041870117, 158.383056640625, 50.809722900390625)",1,3.82098388671875,1,"(-86.77452850341797, -51.06911087036133, 772.3792114257812)",1,"(0.507837176322937, 0.502210259437561)","(4.9747090339660645, 155.5106201171875, 49.76423645019531)",1,4.2943572998046875,1,"(-28.619319915771484, -51.051570892333984, 776.7366943359375)",1
7322734826,923631527228,"(0.5176383256912231, 0.4900101125240326)","(10.385016441345215, 159.07029724121094, 51.05989074707031)",1,3.8173675537109375,1,"(-86.83745574951172, -51.08075714111328, 772.3997192382812)",1,"(0.5090048909187317, 0.4937434494495392)","(5.619291305541992, 157.98101806640625, 50.663421630859375)",1,4.289459228515625,1,"(-28.683523178100586, -51.055355072021484, 776.7666625976562)",1
7322751816,923631544219,"(0.5157313942909241, 0.4858015477657318)","(9.33236026763916, 160.29827880859375, 51.50678634643555)",1,3.8278656005859375,1,"(-86.99188995361328, -51.09367752075195, 772.1611938476562)",1,"(0.5060226917266846, 0.48313385248184204)","(3.9731054306030273, 161.07662963867188, 51.79011535644531)",1,4.2980194091796875,1,"(-28.855985641479492, -51.03986740112305, 776.5399780273438)",1
7322768184,923631560587,"(0.5092868804931641, 0.34695425629615784)","(5.774993419647217, 200.81065368652344, 66.25209045410156)",1,3.8432159423828125,1,"(-87.16648864746094, -50.9290771484375, 772.0947265625)",1,"(0.4966704547405243, 0.37508800625801086)","(-1.1893446445465088, 192.60186767578125, 63.264305114746094)",1,4.31927490234375,1,"(-29.136653900146484, -50.84191131591797, 776.4808959960938)",1
7322784792,923631577195,"(0.5083317756652832, 0.27989861369132996)","(5.247766017913818, 220.3759002685547, 73.37326049804688)",1,3.8410797119140625,1,"(-87.2620620727539, -50.808570861816406, 772.1428833007812)",1,"(0.49305009841918945, 0.28622451424598694)","(-3.187770366668701, 218.53012084960938, 72.70142364501953)",1,4.2914581298828125,1,"(-29.356462478637695, -50.6700325012207, 776.5437622070312)",1
7322801634,923631594037,"(0.502015233039856, 0.23401716351509094)","(1.7610151767730713, 233.7629852294922, 78.24575805664062)",1,3.823028564453125,1,"(-87.49726104736328, -50.726802825927734, 772.4794311523438)",1,"(0.4919459819793701, 0.24971315264701843)","(-3.7972664833068848, 229.1832733154297, 76.57886505126953)",1,4.272308349609375,1,"(-29.577220916748047, -50.547733306884766, 776.8867797851562)",1
7322818104,923631610508,"(0.5003350377082825, 0.22608418762683868)","(0.833520233631134, 236.07763671875, 79.08821868896484)",1,3.829345703125,1,"(-87.66432189941406, -50.76243209838867, 772.7997436523438)",1,"(0.4924868643283844, 0.24396763741970062)","(-3.4986987113952637, 230.85968017578125, 77.18905639648438)",1,4.29443359375,1,"(-29.663131713867188, -50.56242752075195, 777.1915283203125)",1
7322834661,923631627065,"(0.5036635398864746, 0.21704509854316711)","(2.6708600521087646, 238.71505737304688, 80.04814910888672)",1,3.823974609375,1,"(-87.70387268066406, -50.76819610595703, 772.8926391601562)",1,"(0.49134257435798645, 0.23395900428295135)","(-4.130346298217773, 233.77996826171875, 78.25196838378906)",1,4.279296875,1,"(-29.66559600830078, -50.560577392578125, 777.31005859375)",1
7322851453,923631643857,"(0.5012420415878296, 0.22026172280311584)","(1.3341816663742065, 237.77651977539062, 79.70658111572266)",1,3.8292999267578125,1,"(-87.6920394897461, -50.749237060546875, 772.9307861328125)",1,"(0.49042922258377075, 0.21930283308029175)","(-4.634499549865723, 238.05630493164062, 79.80838775634766)",1,4.259368896484375,1,"(-29.62940788269043, -50.54048156738281, 777.3267822265625)",1
7322868024,923631660428,"(0.5037198662757874, 0.22491301596164703)","(2.701946973800659, 236.4193878173828, 79.21257019042969)",1,3.827606201171875,1,"(-87.67008209228516, -50.71150207519531, 772.8054809570312)",1,"(0.49379804730415344, 0.2244015485048294)","(-2.7749249935150146, 236.56861877441406, 79.2669448852539)",1,4.26397705078125,1,"(-29.59189224243164, -50.51106262207031, 777.2339477539062)",1
7322884627,923631677032,"(0.5012399554252625, 0.2293768972158432)","(1.3330262899398804, 235.116943359375, 78.738525390625)",1,3.818634033203125,1,"(-87.67024993896484, -50.69590759277344, 772.75830078125)",1,"(0.4949803054332733, 0.2310027927160263)","(-2.122297763824463, 234.64251708984375, 78.56588745117188)",1,4.2801513671875,1,"(-29.583375930786133, -50.49747085571289, 777.175537109375)",1
7322901465,923631693870,"(0.5014253854751587, 0.2152375429868698)","(1.4354243278503418, 239.242431640625, 80.24012756347656)",1,3.8008880615234375,1,"(-87.70887756347656, -50.683895111083984, 772.5484008789062)",1,"(0.49380436539649963, 0.23026561737060547)","(-2.771416187286377, 234.85760498046875, 78.64418029785156)",1,4.2639312744140625,1,"(-29.621381759643555, -50.48800277709961, 776.9797973632812)",1
7322917944,923631710349,"(0.4989517033100128, 0.22387263178825378)","(0.0698913112282753, 236.72291564941406, 79.3231201171875)",1,3.80450439453125,1,"(-87.80464172363281, -50.7140998840332, 772.38037109375)",1,"(0.49182984232902527, 0.2261858582496643)","(-3.8613624572753906, 236.0479736328125, 79.07743835449219)",1,4.2489013671875,1,"(-29.708436965942383, -50.51734924316406, 776.816650390625)",1
7322934496,923631726901,"(0.4997759163379669, 0.22593067586421967)","(0.5248712301254272, 236.1224365234375, 79.10455322265625)",1,3.786712646484375,1,"(-87.8656234741211, -50.73223114013672, 772.2799072265625)",1,"(0.4958037734031677, 0.23595422506332397)","(-1.6677738428115845, 233.19781494140625, 78.04006958007812)",1,4.24652099609375,1,"(-29.797958374023438, -50.52888870239258, 776.7000122070312)",1
7322951381,923631743787,"(0.5021362900733948, 0.23759537935256958)","(1.827847957611084, 232.71893310546875, 77.86576843261719)",1,3.7950592041015625,1,"(-87.97978973388672, -50.780548095703125, 772.3098754882812)",1,"(0.4953349828720093, 0.24660757184028625)","(-1.9265397787094116, 230.08941650390625, 76.9087142944336)",1,4.2370758056640625,1,"(-29.886903762817383, -50.56895446777344, 776.7442626953125)",1
7322967864,923631760270,"(0.49875408411026, 0.23816148936748505)","(-0.039170414209365845, 232.5537872314453, 77.80562591552734)",1,3.780548095703125,1,"(-88.03441619873047, -50.792903900146484, 772.369140625)",1,"(0.49360671639442444, 0.24979674816131592)","(-2.8805510997772217, 229.1588897705078, 76.57003021240234)",1,4.229217529296875,1,"(-29.926591873168945, -50.57070541381836, 776.8026733398438)",1
