device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
7503137450,923811932721,"(0.5350274443626404, 0.07058418542146683)","(19.983837127685547, 281.4488830566406, 95.60198211669922)",1,2.9541015625,1,"(-86.43461608886719, -53.95000457763672, 775.0462036132812)",1,"(0.5371615886688232, 0.0819682851433754)","(21.161916732788086, 278.12725830078125, 94.3930435180664)",1,3.2100982666015625,1,"(-27.694580078125, -51.37516403198242, 779.2215576171875)",1
7503153971,923811949242,"(0.5368094444274902, 0.06738743185997009)","(20.967512130737305, 282.381591796875, 95.94151306152344)",1,2.953277587890625,1,"(-86.43268585205078, -53.970306396484375, 775.1774291992188)",1,"(0.5371544361114502, 0.07578164339065552)","(21.1579647064209, 279.9324035644531, 95.05005645751953)",1,3.2113494873046875,1,"(-27.682153701782227, -51.39535903930664, 779.3499145507812)",1
7503170634,923811965906,"(0.5372458100318909, 0.06792304664850235)","(21.20835304260254, 282.2253112792969, 95.88461303710938)",1,2.95086669921875,1,"(-86.43164825439453, -53.97719192504883, 775.1967163085938)",1,"(0.5393435955047607, 0.08016587048768997)","(22.36635398864746, 278.6531982421875, 94.58447265625)",1,3.2155914306640625,1,"(-27.67761993408203, -51.41270065307617, 779.3722534179688)",1
7503187366,923811982638,"(0.5376442670822144, 0.07329682260751724)","(21.4283504486084, 280.65740966796875, 95.3139419555664)",1,2.9560089111328125,1,"(-86.43416595458984, -53.99118423461914, 775.2290649414062)",1,"(0.5352845191955566, 0.07907802611589432)","(20.12575912475586, 278.9706115722656, 94.69999694824219)",1,3.1935272216796875,1,"(-27.68018341064453, -51.43547058105469, 779.3990478515625)",1
7503203891,923811999163,"(0.5343105792999268, 0.07071828097105026)","(19.588150024414062, 281.4097595214844, 95.58778381347656)",1,2.9517059326171875,1,"(-86.4343490600586, -53.99428939819336, 775.2095947265625)",1,"(0.5366237759590149, 0.07410580664873123)","(20.865032196044922, 280.4213562011719, 95.22799682617188)",1,3.2069244384765625,1,"(-27.685867309570312, -51.44657897949219, 779.3809814453125)",1
7503220503,923812015776,"(0.5355042815208435, 0.0660007894039154)","(20.247051239013672, 282.7861633300781, 96.0887451171875)",1,2.9469146728515625,1,"(-86.4305419921875, -53.9896125793457, 775.2013549804688)",1,"(0.5338478088378906, 0.0715297982096672)","(19.332719802856445, 281.1729431152344, 95.50154113769531)",1,3.199432373046875,1,"(-27.67922019958496, -51.450321197509766, 779.3707885742188)",1
7503237281,923812032554,"(0.5377694368362427, 0.06616678088903427)","(21.49744987487793, 282.73779296875, 96.07112121582031)",1,2.9633941650390625,1,"(-86.40290832519531, -53.97643280029297, 775.2138671875)",1,"(0.5327300429344177, 0.07412799447774887)","(18.71565818786621, 280.4148864746094, 95.2256088256836)",1,3.19903564453125,1,"(-27.649887084960938, -51.4373664855957, 779.3775634765625)",1
7503253811,923812049084,"(0.5414847731590271, 0.07001908868551254)","(23.548315048217773, 281.61376953125, 95.66205596923828)",1,2.97442626953125,1,"(-86.34684753417969, -53.957740783691406, 775.0548095703125)",1,"(0.5335452556610107, 0.07528935372829437)","(19.16561508178711, 280.0760498046875, 95.10233306884766)",1,3.2003021240234375,1,"(-27.61382293701172, -51.41957092285156, 779.2295532226562)",1
7503270469,923812065742,"(0.5385257005691528, 0.0700853243470192)","(21.914873123168945, 281.5944519042969, 95.65502166748047)",1,2.96905517578125,1,"(-86.29301452636719, -53.93796920776367, 774.8456420898438)",1,"(0.5323415994644165, 0.07876304537057877)","(18.501239776611328, 279.0625, 94.7334213256836)",1,3.205078125,1,"(-27.575023651123047, -51.39613342285156, 778.9801025390625)",1
7503287196,923812082470,"(0.5325208902359009, 0.07422293722629547)","(18.600215911865234, 280.38714599609375, 95.215576171875)",1,2.9612579345703125,1,"(-86.19950866699219, -53.89997863769531, 774.4563598632812)",1,"(0.5340616703033447, 0.07436001300811768)","(19.450708389282227, 280.3471984863281, 95.20101165771484)",1,3.184356689453125,1,"(-27.531190872192383, -51.362586975097656, 778.6080932617188)",1
7503303731,923812099005,"(0.5300799608230591, 0.08067438751459122)","(17.252843856811523, 278.5047912597656, 94.5304183959961)",1,2.959259033203125,1,"(-86.15910339355469, -53.87743377685547, 774.320556640625)",1,"(0.5336560010910034, 0.08218428492546082)","(19.226797103881836, 278.064208984375, 94.37010955810547)",1,3.1988067626953125,1,"(-27.5136661529541, -51.33290481567383, 778.4745483398438)",1
7503320338,923812115612,"(0.5303930044174194, 0.07988640666007996)","(17.425588607788086, 278.7347106933594, 94.61410522460938)",1,2.9673309326171875,1,"(-86.20198822021484, -53.890750885009766, 774.3839111328125)",1,"(0.5271459221839905, 0.07841919362545013)","(15.633183479309082, 279.1628112792969, 94.76995849609375)",1,3.1922454833984375,1,"(-27.53961944580078, -51.351375579833984, 778.5520629882812)",1
7503337208,923812132482,"(0.4643361568450928, 0.14224988222122192)","(-19.037965774536133, 260.5384826660156, 87.99131774902344)",1,2.963592529296875,1,"(-86.4173355102539, -53.996246337890625, 774.0968627929688)",1,"(0.4729158878326416, 0.14867399632930756)","(-14.301958084106445, 258.66412353515625, 87.30904388427734)",1,3.2113494873046875,1,"(-27.788360595703125, -51.43393325805664, 778.2581787109375)",1
7503353651,923812148926,"(0.36866819858551025, 0.23752832412719727)","(-71.84700775146484, 232.738525390625, 77.87288665771484)",1,2.9392547607421875,1,"(-86.78794860839844, -54.18279266357422, 773.9818725585938)",1,"(0.392307311296463, 0.2446962594985962)","(-58.798160552978516, 230.64707946777344, 77.11166381835938)",1,3.2294921875,1,"(-28.21953010559082, -51.606590270996094, 778.1687622070312)",1
