device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
8567939761,924876752276,"(0.6602271199226379, 0.3486922085285187)","(89.09449005126953, 200.3035430908203, 66.06755828857422)",1,3.2340240478515625,1,"(-45.92289733886719, -26.9443416595459, 800.2406005859375)",1,"(0.6493527293205261, 0.3588397800922394)","(83.09180450439453, 197.34271240234375, 64.9898452758789)",1,3.759735107421875,1,"(12.621979713439941, -24.85285186767578, 801.3926391601562)",1
8567956636,924876769151,"(0.6747671961784363, 0.3476890027523041)","(97.12065887451172, 200.5962677001953, 66.174072265625)",1,3.23736572265625,1,"(-45.7814826965332, -26.946033477783203, 800.0056762695312)",1,"(0.6595820188522339, 0.3458765149116516)","(88.73835754394531, 201.1250762939453, 66.36654663085938)",1,3.716827392578125,1,"(12.71720027923584, -24.862470626831055, 801.1463623046875)",1
8567972967,924876785482,"(0.6683425307273865, 0.3559418320655823)","(93.57421112060547, 198.18826293945312, 65.29762268066406)",1,3.2321319580078125,1,"(-45.74305725097656, -26.93752670288086, 799.7376098632812)",1,"(0.6667478680610657, 0.3506617844104767)","(92.69396209716797, 199.72885131835938, 65.85836029052734)",1,3.7101593017578125,1,"(12.742005348205566, -24.844253540039062, 800.8818359375)",1
8567989630,924876802146,"(0.6712897419929504, 0.34597843885421753)","(95.20109558105469, 201.0953369140625, 66.355712890625)",1,3.2124176025390625,1,"(-45.7333984375, -26.93878746032715, 799.7940673828125)",1,"(0.6664629578590393, 0.3551079034805298)","(92.53668212890625, 198.4315948486328, 65.38621520996094)",1,3.6961517333984375,1,"(12.76429271697998, -24.831769943237305, 800.9397583007812)",1
8568006648,924876819164,"(0.6757122278213501, 0.33758965134620667)","(97.64232635498047, 203.5430145263672, 67.24656677246094)",1,3.187408447265625,1,"(-45.70606231689453, -26.910350799560547, 799.6983642578125)",1,"(0.668228268623352, 0.35269707441329956)","(93.51112365722656, 199.135009765625, 65.6421890258789)",1,3.68963623046875,1,"(12.795867919921875, -24.790515899658203, 800.8403930664062)",1
8568022887,924876835403,"(0.6721609830856323, 0.3579309284687042)","(95.68202209472656, 197.60789489746094, 65.08638000488281)",1,3.22833251953125,1,"(-45.65781021118164, -26.861093521118164, 799.6089477539062)",1,"(0.6722614169120789, 0.3563181757926941)","(95.73748016357422, 198.07847595214844, 65.25767517089844)",1,3.6932220458984375,1,"(12.81932258605957, -24.74985122680664, 800.7479248046875)",1
8568039499,924876852015,"(0.6743955612182617, 0.3650781512260437)","(96.91555786132812, 195.52252197265625, 64.32737731933594)",1,3.2052001953125,1,"(-45.631126403808594, -26.801908493041992, 799.5581665039062)",1,"(0.6727797985076904, 0.3676641285419464)","(96.02361297607422, 194.7679901123047, 64.05277252197266)",1,3.6968536376953125,1,"(12.841395378112793, -24.722578048706055, 800.6954956054688)",1
8568056563,924876869080,"(0.6731442213058472, 0.3647769093513489)","(96.22477722167969, 195.6103973388672, 64.35935974121094)",1,3.1990203857421875,1,"(-45.585426330566406, -26.764713287353516, 799.71240234375)",1,"(0.6697244048118591, 0.367773175239563)","(94.3370361328125, 194.7361602783203, 64.04113006591797)",1,3.696136474609375,1,"(12.906415939331055, -24.689085006713867, 800.8495483398438)",1
8568072807,924876885324,"(0.6745721101760864, 0.36963924765586853)","(97.0129623413086, 194.19166564941406, 63.84303283691406)",1,3.18316650390625,1,"(-45.53155517578125, -26.725706100463867, 799.9034423828125)",1,"(0.6651201248168945, 0.3679017424583435)","(91.79544067382812, 194.69866943359375, 64.02745819091797)",1,3.7005157470703125,1,"(12.982924461364746, -24.66288948059082, 801.0321044921875)",1
8568089465,924876901982,"(0.673030436038971, 0.3623201549053192)","(96.16199493408203, 196.3272247314453, 64.62028503417969)",1,3.1713714599609375,1,"(-45.496055603027344, -26.718019485473633, 799.9644775390625)",1,"(0.6651991009712219, 0.371315598487854)","(91.83907318115234, 193.7025909423828, 63.664894104003906)",1,3.6959991455078125,1,"(13.025545120239258, -24.666385650634766, 801.09130859375)",1
8568106478,924876918995,"(0.675125777721405, 0.35645169019699097)","(97.31863403320312, 198.0395050048828, 65.24347686767578)",1,3.182769775390625,1,"(-45.438682556152344, -26.70749282836914, 800.0144653320312)",1,"(0.6674417853355408, 0.3791057765483856)","(93.07701873779297, 191.42958068847656, 62.83766174316406)",1,3.7138519287109375,1,"(13.084881782531738, -24.673587799072266, 801.1356201171875)",1
8568122727,924876935245,"(0.6765573024749756, 0.3508071303367615)","(98.10884857177734, 199.6864471435547, 65.84290313720703)",1,3.1739501953125,1,"(-45.3695182800293, -26.697275161743164, 800.0400390625)",1,"(0.6697395443916321, 0.3780559003353119)","(94.34539794921875, 191.7359161376953, 62.94916534423828)",1,3.6986846923828125,1,"(13.156816482543945, -24.658977508544922, 801.1543579101562)",1
8568139431,924876951949,"(0.672225296497345, 0.35812273621559143)","(95.71753692626953, 197.55194091796875, 65.06600189208984)",1,3.1796722412109375,1,"(-45.32817077636719, -26.698732376098633, 800.1382446289062)",1,"(0.6698983907699585, 0.388593852519989)","(94.4330825805664, 188.6611785888672, 61.83004379272461)",1,3.6948089599609375,1,"(13.197397232055664, -24.66353416442871, 801.2540283203125)",1
8568156297,924876968815,"(0.6717668175697327, 0.3564111888408661)","(95.46444702148438, 198.0513153076172, 65.2477798461914)",1,3.1656036376953125,1,"(-45.27558898925781, -26.70565414428711, 800.3051147460938)",1,"(0.666132926940918, 0.38361871242523193)","(92.35453033447266, 190.11280822753906, 62.358402252197266)",1,3.6838226318359375,1,"(13.262296676635742, -24.685312271118164, 801.4137573242188)",1
8568172642,924876985161,"(0.6428439617156982, 0.357241153717041)","(79.49888610839844, 197.80917358398438, 65.15962982177734)",1,3.1910858154296875,1,"(-45.292755126953125, -26.682357788085938, 799.960693359375)",1,"(0.6448153257369995, 0.3635619282722473)","(80.5871353149414, 195.96493530273438, 64.48836517333984)",1,3.677032470703125,1,"(13.217676162719727, -24.687896728515625, 801.0744018554688)",1
8568189301,924877001820,"(0.5797022581100464, 0.29954421520233154)","(44.64447784423828, 214.6437530517578, 71.28693389892578)",1,3.1553802490234375,1,"(-45.461769104003906, -26.606048583984375, 799.6297607421875)",1,"(0.5876768231391907, 0.31868976354599)","(49.04647445678711, 209.05755615234375, 69.25367736816406)",1,3.7044830322265625,1,"(13.010871887207031, -24.629348754882812, 800.7368774414062)",1
8568206213,924877018732,"(0.5090605020523071, 0.23432090878486633)","(5.65000057220459, 233.67437744140625, 78.2135238647461)",1,3.161773681640625,1,"(-45.69529342651367, -26.476049423217773, 799.559814453125)",1,"(0.506522536277771, 0.24582962691783905)","(4.249046802520752, 230.31640625, 76.9913330078125)",1,3.751312255859375,1,"(12.676676750183105, -24.5425968170166, 800.67724609375)",1
8568222604,924877035123,"(0.5076929330825806, 0.2529081702232361)","(4.895101547241211, 228.25103759765625, 76.23957061767578)",1,3.141937255859375,1,"(-45.705902099609375, -26.427989959716797, 798.9794311523438)",1,"(0.5039860606193542, 0.22795933485031128)","(2.8489081859588623, 235.53053283691406, 78.88908386230469)",1,3.73162841796875,1,"(12.655271530151367, -24.52591896057129, 800.1399536132812)",1
8568239267,924877051787,"(0.49852800369262695, 0.2567109167575836)","(-0.16396839916706085, 227.14149475097656, 75.83576965332031)",1,3.1309661865234375,1,"(-45.72200393676758, -26.436443328857422, 799.1693725585938)",1,"(0.4975981116294861, 0.2244682013988495)","(-0.677272617816925, 236.54916381835938, 79.25984191894531)",1,3.71966552734375,1,"(12.677290916442871, -24.540666580200195, 800.3233642578125)",1
8568256127,924877068647,"(0.5008677244186401, 0.2582557797431946)","(1.127572774887085, 226.6907501220703, 75.67168426513672)",1,3.1513214111328125,1,"(-45.73321533203125, -26.4367733001709, 798.9559936523438)",1,"(0.4935782849788666, 0.23331497609615326)","(-2.896245241165161, 233.9678955078125, 78.3203125)",1,3.7330780029296875,1,"(12.68355655670166, -24.534090042114258, 800.10546875)",1
8568272482,924877085002,"(0.500758707523346, 0.26588696241378784)","(1.067371129989624, 224.4641571044922, 74.8613052368164)",1,3.1794586181640625,1,"(-45.739017486572266, -26.435739517211914, 798.6885986328125)",1,"(0.4924895167350769, 0.2557556629180908)","(-3.4972317218780518, 227.42022705078125, 75.93717956542969)",1,3.7633056640625,1,"(12.679636001586914, -24.534961700439453, 799.8446044921875)",1
8568289233,924877101753,"(0.5059917569160461, 0.24753443896770477)","(3.9560647010803223, 229.81900024414062, 76.81024932861328)",1,3.1626739501953125,1,"(-45.78024673461914, -26.453683853149414, 798.7972412109375)",1,"(0.49270394444465637, 0.24927444756031036)","(-3.378852128982544, 229.31126403808594, 76.62548828125)",1,3.757781982421875,1,"(12.676722526550293, -24.53803062438965, 799.9412841796875)",1
8568306043,924877118564,"(0.5072087645530701, 0.26193293929100037)","(4.627834320068359, 225.61782836914062, 75.28118896484375)",1,3.164581298828125,1,"(-45.83152770996094, -26.466461181640625, 799.1036376953125)",1,"(0.4905863404273987, 0.25643351674079895)","(-4.547792434692383, 227.22242736816406, 75.86521911621094)",1,3.762725830078125,1,"(12.663538932800293, -24.548189163208008, 800.2682495117188)",1
