device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
7211313399,923520104037,"(0.44029346108436584, 0.3887212574481964)","(-32.309627532958984, 188.62400817871094, 61.81651306152344)",1,3.6262969970703125,1,"(-72.31963348388672, -31.30178451538086, 784.564697265625)",1,"(0.4498526453971863, 0.38763678073883057)","(-27.032913208007812, 188.94041442871094, 61.93169403076172)",1,3.9331817626953125,1,"(-13.839693069458008, -28.300830841064453, 787.7017211914062)",1
7211330246,923520120884,"(0.4356072247028351, 0.3705974817276001)","(-34.89645767211914, 193.91207885742188, 63.74126052856445)",1,3.59375,1,"(-72.59612274169922, -31.258081436157227, 784.9631958007812)",1,"(0.4508122503757477, 0.39481568336486816)","(-26.503225326538086, 186.84579467773438, 61.1693000793457)",1,3.9117584228515625,1,"(-14.06978988647461, -28.22580909729004, 788.0932006835938)",1
7211346744,923520137383,"(0.43862077593803406, 0.40143057703971863)","(-33.23295593261719, 184.91574096679688, 60.466819763183594)",1,3.6509246826171875,1,"(-72.75249481201172, -31.197452545166016, 784.9935913085938)",1,"(0.44754719734191895, 0.3994983732700348)","(-28.305553436279297, 185.4794921875, 60.672019958496094)",1,3.92913818359375,1,"(-14.220014572143555, -28.147945404052734, 788.1295776367188)",1
7211363365,923520154004,"(0.44184553623199463, 0.38351577520370483)","(-31.45287322998047, 190.14280700683594, 62.369354248046875)",1,3.618621826171875,1,"(-72.81436157226562, -31.182783126831055, 784.970947265625)",1,"(0.44738832116127014, 0.3884172737598419)","(-28.393253326416016, 188.71270751953125, 61.848785400390625)",1,3.947540283203125,1,"(-14.269672393798828, -28.12596321105957, 788.10791015625)",1
7211380162,923520170801,"(0.4415738880634308, 0.38217103481292725)","(-31.602832794189453, 190.53518676757812, 62.51212692260742)",1,3.6052093505859375,1,"(-72.793212890625, -31.140918731689453, 784.7142333984375)",1,"(0.4449201822280884, 0.38921302556991577)","(-29.755680084228516, 188.4805145263672, 61.76427459716797)",1,3.930419921875,1,"(-14.25924301147461, -28.060523986816406, 787.8447265625)",1
7211396664,923520187303,"(0.4412081837654114, 0.3888735771179199)","(-31.804716110229492, 188.57957458496094, 61.800331115722656)",1,3.60833740234375,1,"(-72.69697570800781, -31.124364852905273, 784.3414916992188)",1,"(0.44766169786453247, 0.39109188318252563)","(-28.242353439331055, 187.93231201171875, 61.56474304199219)",1,3.9123687744140625,1,"(-14.189095497131348, -28.02814483642578, 787.4869384765625)",1
7211413235,923520203875,"(0.43951502442359924, 0.3845843970775604)","(-32.739315032958984, 189.8310546875, 62.25581741333008)",1,3.5774383544921875,1,"(-72.62271881103516, -31.129470825195312, 784.233642578125)",1,"(0.45042192935943604, 0.38962045311927795)","(-26.71867561340332, 188.3616485595703, 61.720977783203125)",1,3.915008544921875,1,"(-14.128568649291992, -28.053611755371094, 787.354736328125)",1
7211430078,923520220718,"(0.4414156675338745, 0.3937942683696747)","(-31.690166473388672, 187.143798828125, 61.277809143066406)",1,3.557098388671875,1,"(-72.53487396240234, -31.16643714904785, 784.1172485351562)",1,"(0.4485664665699005, 0.3954417109489441)","(-27.74291229248047, 186.6631317138672, 61.10281753540039)",1,3.8868560791015625,1,"(-14.043883323669434, -28.10097312927246, 787.2398071289062)",1
7211446584,923520237224,"(0.4423239231109619, 0.41046708822250366)","(-31.18879508972168, 182.27908325195312, 59.50712585449219)",1,3.5863800048828125,1,"(-72.4779281616211, -31.199953079223633, 784.01611328125)",1,"(0.44962698221206665, 0.4012068808078766)","(-27.157474517822266, 184.98101806640625, 60.49052047729492)",1,3.8747100830078125,1,"(-13.995073318481445, -28.146047592163086, 787.1431884765625)",1
7211463201,923520253841,"(0.43577197194099426, 0.3922293782234192)","(-34.805503845214844, 187.60043334960938, 61.443931579589844)",1,3.56097412109375,1,"(-72.45431518554688, -31.225067138671875, 783.93359375)",1,"(0.4530757665634155, 0.40644562244415283)","(-25.25374984741211, 183.45248413085938, 59.9341926574707)",1,3.873443603515625,1,"(-13.968735694885254, -28.171131134033203, 787.0489501953125)",1
7211480090,923520270731,"(0.43683403730392456, 0.3933923542499542)","(-34.21926498413086, 187.2611083984375, 61.32044982910156)",1,3.5628662109375,1,"(-72.44034576416016, -31.248144149780273, 783.7828369140625)",1,"(0.4514925479888916, 0.40506577491760254)","(-26.127700805664062, 183.85507202148438, 60.080772399902344)",1,3.85748291015625,1,"(-13.955153465270996, -28.203683853149414, 786.9074096679688)",1
7211496504,923520287145,"(0.43982213735580444, 0.39558663964271545)","(-32.569828033447266, 186.62086486816406, 61.0874137878418)",1,3.553131103515625,1,"(-72.42474365234375, -31.26584815979004, 783.7153930664062)",1,"(0.45052942633628845, 0.40027284622192383)","(-26.65932273864746, 185.25350952148438, 60.589786529541016)",1,3.843292236328125,1,"(-13.936128616333008, -28.217554092407227, 786.8310546875)",1
7211513167,923520303808,"(0.43878594040870667, 0.40739890933036804)","(-33.14179229736328, 183.17430114746094, 59.83300018310547)",1,3.5547637939453125,1,"(-72.4029769897461, -31.25464630126953, 783.6339721679688)",1,"(0.44923096895217896, 0.40101367235183716)","(-27.376089096069336, 185.03736877441406, 60.51114273071289)",1,3.84881591796875,1,"(-13.91942024230957, -28.20215606689453, 786.737060546875)",1
7211530005,923520320646,"(0.43668100237846375, 0.41095811128616333)","(-34.30372619628906, 182.1358184814453, 59.45500946044922)",1,3.54107666015625,1,"(-72.34378814697266, -31.201414108276367, 783.5328369140625)",1,"(0.4485737979412079, 0.3925066590309143)","(-27.738853454589844, 187.51950073242188, 61.41454315185547)",1,3.8243560791015625,1,"(-13.872075080871582, -28.140457153320312, 786.6370239257812)",1
7211546424,923520337066,"(0.4381888806819916, 0.3975364863872528)","(-33.47135925292969, 186.05194091796875, 60.880348205566406)",1,3.5177764892578125,1,"(-72.2967758178711, -31.128684997558594, 783.3991088867188)",1,"(0.448333203792572, 0.38637876510620117)","(-27.87166404724121, 189.30752563476562, 62.065269470214844)",1,3.8046875,1,"(-13.829727172851562, -28.050878524780273, 786.5093383789062)",1
7211563037,923520353679,"(0.44876328110694885, 0.3737791180610657)","(-27.634281158447266, 192.98379516601562, 63.4033203125)",1,3.5245513916015625,1,"(-72.24254608154297, -31.093549728393555, 783.2799682617188)",1,"(0.46371859312057495, 0.38553768396377563)","(-19.37889862060547, 189.55291748046875, 62.15458297729492)",1,3.8016510009765625,1,"(-13.803243637084961, -27.938533782958984, 786.3787231445312)",1
