device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
8145458003,924454263654,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
8145474496,924454280147,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
8145491200,924454296851,"(0.4039258360862732, 0.4295705556869507)","(-52.38468933105469, 176.7051544189453, 57.4783935546875)",1,4.0538482666015625,1,"(-18.389026641845703, 40.162994384765625, 720.340576171875)",1,"(0.3967744708061218, 0.4100601077079773)","(-56.3322639465332, 182.39784240722656, 59.55035400390625)",1,4.8007049560546875,1,"(38.900272369384766, 43.094024658203125, 719.8139038085938)",1
8145507918,924454313570,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
8145524370,924454330022,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
8145541069,924454346721,"(0.4123605489730835, 0.41290250420570374)","(-47.72869110107422, 181.56849670410156, 59.24853515625)",1,3.947174072265625,1,"(-23.91911506652832, 35.52044677734375, 720.4244384765625)",1,"(0.39153894782066345, 0.4150297939777374)","(-59.2222900390625, 180.94778442382812, 59.02264404296875)",1,4.8033447265625,1,"(33.17566680908203, 38.78202438354492, 720.3479614257812)",1
8145557737,924454363389,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
8145574262,924454379915,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.07828466594219208, 0.867904007434845)","(-232.13970947265625, 48.80982971191406, 10.928340911865234)",1,4.6562957763671875,1,"(31.058483123779297, 37.483280181884766, 720.5114135742188)",1
8145590939,924454396592,"(0.40855592489242554, 0.41181960701942444)","(-49.828857421875, 181.8844757080078, 59.36346435546875)",1,3.98114013671875,1,"(-28.66139793395996, 31.590755462646484, 720.4364624023438)",1,"(0.07725466787815094, 0.8722928762435913)","(-232.70826721191406, 47.52924346923828, 10.462230682373047)",1,4.6371307373046875,1,"(30.276182174682617, 36.87770462036133, 720.5737915039062)",1
8145607652,924454413305,"(0.42270445823669434, 0.42832961678504944)","(-42.018821716308594, 177.06724548339844, 57.610145568847656)",1,3.9825897216796875,1,"(-29.308551788330078, 30.934383392333984, 720.4384765625)",1,"(0.41070592403411865, 0.4189128875732422)","(-48.64204406738281, 179.81478881835938, 58.61021041870117)",1,4.6453857421875,1,"(27.529996871948242, 34.38104248046875, 720.8106689453125)",1
8145624168,924454429821,"(0.4234258234500885, 0.4252172112464905)","(-41.620628356933594, 177.975341796875, 57.94070816040039)",1,3.845428466796875,1,"(-30.620058059692383, 29.331100463867188, 720.765869140625)",1,"(0.4078381359577179, 0.4166562259197235)","(-50.225074768066406, 180.47325134277344, 58.84987258911133)",1,4.6350555419921875,1,"(26.296566009521484, 32.78083801269531, 721.0648193359375)",1
8145640808,924454446462,"(0.42666682600975037, 0.42699724435806274)","(-39.831565856933594, 177.4559783935547, 57.75170135498047)",1,3.84075927734375,1,"(-31.231245040893555, 28.435136795043945, 720.9360961914062)",1,"(0.40622663497924805, 0.4168456792831421)","(-51.114654541015625, 180.41798400878906, 58.82973861694336)",1,4.62091064453125,1,"(25.641149520874023, 31.762557983398438, 721.2418212890625)",1
8145657568,924454463222,"(0.4275018572807312, 0.42240893840789795)","(-39.37065124511719, 178.79473876953125, 58.23896026611328)",1,3.84051513671875,1,"(-32.08820724487305, 27.103330612182617, 722.6041870117188)",1,"(0.4148368835449219, 0.42145630717277527)","(-46.36175537109375, 179.07272338867188, 58.34013748168945)",1,4.6461181640625,1,"(24.857316970825195, 30.317163467407227, 723.0098266601562)",1
8145674074,924454479728,"(0.461852103471756, 0.4462452828884125)","(-20.409194946289062, 171.83985900878906, 55.707550048828125)",1,3.86474609375,1,"(-32.722877502441406, 25.710569381713867, 725.1551513671875)",1,"(0.447812557220459, 0.4377475380897522)","(-28.159086227416992, 174.3193359375, 56.610023498535156)",1,4.6615447998046875,1,"(24.356481552124023, 28.835628509521484, 725.5315551757812)",1
8145690774,924454496429,"(0.4729345142841339, 0.45574524998664856)","(-14.291654586791992, 169.0679931640625, 54.69869613647461)",1,3.864959716796875,1,"(-33.07270431518555, 24.946216583251953, 726.8497314453125)",1,"(0.4587880074977875, 0.4581905007362366)","(-22.100597381591797, 168.3545379638672, 54.439022064208984)",1,4.6435394287109375,1,"(24.073326110839844, 27.924373626708984, 727.3369140625)",1
8145707483,924454513138,"(0.4698846936225891, 0.45306938886642456)","(-15.975157737731934, 169.84873962402344, 54.982852935791016)",1,3.8629608154296875,1,"(-33.64651107788086, 24.03117561340332, 728.192138671875)",1,"(0.4530806839466095, 0.4646039307117462)","(-25.25104522705078, 166.4832305908203, 53.7579460144043)",1,4.646148681640625,1,"(23.548505783081055, 26.815807342529297, 728.7277221679688)",1
8145723985,924454529640,"(0.4686259329319, 0.4575282633304596)","(-16.670001983642578, 168.5477752685547, 54.509315490722656)",1,3.864013671875,1,"(-34.34084701538086, 23.208616256713867, 729.6471557617188)",1,"(0.4626076817512512, 0.46179163455963135)","(-19.992101669311523, 167.30381774902344, 54.05656814575195)",1,4.6447601318359375,1,"(22.891788482666016, 25.765295028686523, 730.1979370117188)",1
8145740644,924454546299,"(0.468258798122406, 0.45912399888038635)","(-16.872657775878906, 168.08216857910156, 54.339866638183594)",1,3.8507232666015625,1,"(-34.8390998840332, 22.645986557006836, 730.450927734375)",1,"(0.4575066566467285, 0.4592265188694)","(-22.807899475097656, 168.05224609375, 54.32899475097656)",1,4.6452484130859375,1,"(22.393953323364258, 25.00071144104004, 731.0821533203125)",1
8145757399,924454563055,"(0.46779340505599976, 0.44995802640914917)","(-17.129558563232422, 170.75656127929688, 55.313323974609375)",1,3.8386688232421875,1,"(-35.66776657104492, 21.81171989440918, 731.881591796875)",1,"(0.46007874608039856, 0.4622099995613098)","(-21.388103485107422, 167.18173217773438, 54.01218795776367)",1,4.6225433349609375,1,"(21.593725204467773, 23.953298568725586, 732.5486450195312)",1
