device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
9352912056,925661737220,"(0.4172059893608093, 0.19651512801647186)","(-45.05400085449219, 244.70523071289062, 82.2283935546875)",1,4.736846923828125,1,"(-10.644104957580566, -68.10400390625, 869.1019287109375)",1,"(0.3926321268081665, 0.17567233741283417)","(-58.61888122558594, 250.78662109375, 84.44192504882812)",1,4.50225830078125,1,"(54.64517593383789, -72.73249816894531, 867.7587280273438)",1
9352928098,925661753262,"(0.4157576858997345, 0.20106258988380432)","(-45.85346984863281, 243.3783416748047, 81.7455062866211)",1,4.7415008544921875,1,"(-10.51425838470459, -68.06134796142578, 869.7970581054688)",1,"(0.3721664249897003, 0.2043578326702118)","(-69.9160385131836, 242.4169158935547, 81.3955307006836)",1,4.544189453125,1,"(54.892005920410156, -72.71539306640625, 868.4818725585938)",1
9352945336,925661770500,"(0.41811713576316833, 0.21563374996185303)","(-44.55105209350586, 239.1268310546875, 80.19810485839844)",1,4.725189208984375,1,"(-10.457236289978027, -68.01023864746094, 869.8321533203125)",1,"(0.3622092306613922, 0.19789080321788788)","(-75.41239166259766, 244.30381774902344, 82.0822982788086)",1,4.561676025390625,1,"(54.97496795654297, -72.71598052978516, 868.508056640625)",1
9352961976,925661787140,"(0.4185952842235565, 0.21751126646995544)","(-44.2870979309082, 238.57904052734375, 79.99864959716797)",1,4.72735595703125,1,"(-10.417862892150879, -68.02175903320312, 869.55810546875)",1,"(0.366508424282074, 0.20033568143844604)","(-73.03923034667969, 243.5904998779297, 81.82260131835938)",1,4.5528106689453125,1,"(54.9902458190918, -72.70703887939453, 868.2378540039062)",1
9352978018,925661803182,"(0.4154112935066223, 0.18756826221942902)","(-46.044647216796875, 247.31568908691406, 83.17853546142578)",1,4.7281036376953125,1,"(-10.449651718139648, -68.10256958007812, 869.11962890625)",1,"(0.3642422556877136, 0.17970474064350128)","(-74.29016876220703, 249.61007690429688, 84.01362609863281)",1,4.48828125,1,"(54.952632904052734, -72.74242401123047, 867.794921875)",1
9352995256,925661820420,"(0.4095474183559418, 0.19359250366687775)","(-49.281551361083984, 245.55795288085938, 82.5387954711914)",1,4.724609375,1,"(-10.469245910644531, -68.12879943847656, 869.0360717773438)",1,"(0.3693310618400574, 0.164828822016716)","(-71.48110961914062, 253.95053100585938, 85.59339904785156)",1,4.4890289306640625,1,"(54.91065979003906, -72.79804229736328, 867.7193603515625)",1
9353011896,925661837061,"(0.4171605706214905, 0.21137765049934387)","(-45.07905960083008, 240.36865234375, 80.65006256103516)",1,4.742279052734375,1,"(-10.544590950012207, -68.19782257080078, 869.0345458984375)",1,"(0.36413758993148804, 0.19521956145763397)","(-74.34794616699219, 245.0832061767578, 82.3659896850586)",1,4.538848876953125,1,"(54.877655029296875, -72.86038970947266, 867.6983032226562)",1
9353027938,925661853103,"(0.416168212890625, 0.2070499062538147)","(-45.6268424987793, 241.63137817382812, 81.10967254638672)",1,4.752685546875,1,"(-10.588411331176758, -68.32940673828125, 869.8461303710938)",1,"(0.3734103739261627, 0.19523097574710846)","(-69.22932434082031, 245.0798797607422, 82.36481475830078)",1,4.5531005859375,1,"(54.886199951171875, -73.01187896728516, 868.5303344726562)",1
9353045176,925661870341,"(0.4167083501815796, 0.19524724781513214)","(-45.32869338989258, 245.0751495361328, 82.3630599975586)",1,4.7393035888671875,1,"(-10.57323932647705, -68.3163070678711, 869.3065185546875)",1,"(0.36883383989334106, 0.195863276720047)","(-71.755615234375, 244.89537048339844, 82.29764556884766)",1,4.5429534912109375,1,"(54.873050689697266, -72.9894027709961, 868.0419921875)",1
9353061816,925661886981,"(0.4187867045402527, 0.19700945913791656)","(-44.181427001953125, 244.5609588623047, 82.1759033203125)",1,4.7286834716796875,1,"(-10.520930290222168, -68.25855255126953, 868.447998046875)",1,"(0.36016249656677246, 0.22346846759319305)","(-76.5422134399414, 236.8408660888672, 79.36601257324219)",1,4.5945892333984375,1,"(54.868595123291016, -72.9310073852539, 867.1502075195312)",1
