device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
9733291178,926042122464,"(0.5313068628311157, 0.30189046263694763)","(17.93009376525879, 213.95916748046875, 71.0377426147461)",1,4.808868408203125,1,"(-15.332283973693848, -74.92504119873047, 866.840576171875)",1,"(0.5225059986114502, 0.27998673915863037)","(13.071975708007812, 220.3501739501953, 73.3638916015625)",1,4.4478302001953125,1,"(49.22948455810547, -80.25336456298828, 866.0183715820312)",1
9733307220,926042138507,"(0.5411719083786011, 0.29298457503318787)","(23.375606536865234, 216.5576934814453, 71.98355102539062)",1,4.8147125244140625,1,"(-15.284416198730469, -74.93893432617188, 867.4398193359375)",1,"(0.5327929258346558, 0.28383737802505493)","(18.750362396240234, 219.22665405273438, 72.9549331665039)",1,4.5095367431640625,1,"(49.36919021606445, -80.28443145751953, 866.6328735351562)",1
9733324458,926042155745,"(0.5405818819999695, 0.29977700114250183)","(23.049911499023438, 214.57583618164062, 71.26221466064453)",1,4.817413330078125,1,"(-15.232575416564941, -74.88321685791016, 867.1979370117188)",1,"(0.5356098413467407, 0.2930644452571869)","(20.305280685424805, 216.53443908691406, 71.97505950927734)",1,4.5092926025390625,1,"(49.37954330444336, -80.21746063232422, 866.4103393554688)",1
9733341098,926042172385,"(0.5370907187461853, 0.3067682981491089)","(21.122760772705078, 212.5359344482422, 70.51978302001953)",1,4.8209075927734375,1,"(-15.158966064453125, -74.78274536132812, 866.7530517578125)",1,"(0.5390313863754272, 0.3039335608482361)","(22.194028854370117, 213.36305236816406, 70.82079315185547)",1,4.4956512451171875,1,"(49.40148162841797, -80.0760269165039, 865.94775390625)",1
9733357140,926042188427,"(0.536687433719635, 0.3086828589439392)","(20.90013313293457, 211.9773406982422, 70.31640625)",1,4.819061279296875,1,"(-15.107149124145508, -74.71968841552734, 866.4962158203125)",1,"(0.5450111031532288, 0.3029597997665405)","(25.494876861572266, 213.64718627929688, 70.92418670654297)",1,4.505889892578125,1,"(49.41777038574219, -80.0004653930664, 865.682373046875)",1
9733374378,926042205666,"(0.5376971960067749, 0.31138813495635986)","(21.457555770874023, 211.18797302246094, 70.02913665771484)",1,4.8267059326171875,1,"(-15.09445858001709, -74.72251892089844, 866.5630493164062)",1,"(0.5396220088005066, 0.29944732785224915)","(22.52007293701172, 214.6720428466797, 71.2972183227539)",1,4.5150909423828125,1,"(49.44143295288086, -79.99951171875, 865.7439575195312)",1
9733391018,926042222306,"(0.5397176742553711, 0.3093600571155548)","(22.5728702545166, 211.77972412109375, 70.24451446533203)",1,4.83123779296875,1,"(-15.063349723815918, -74.7459487915039, 866.6763916015625)",1,"(0.5333603620529175, 0.3044262230396271)","(19.063629150390625, 213.2193145751953, 70.76841735839844)",1,4.5093841552734375,1,"(49.5107307434082, -79.988037109375, 865.8577270507812)",1
9733407060,926042238348,"(0.5405176877975464, 0.3038492202758789)","(23.01447296142578, 213.38768005371094, 70.82974243164062)",1,4.8362579345703125,1,"(-15.01167106628418, -74.76113891601562, 866.5835571289062)",1,"(0.5378491282463074, 0.29127737879753113)","(21.54142189025879, 217.0558319091797, 72.16484069824219)",1,4.514373779296875,1,"(49.541778564453125, -80.02565002441406, 865.7557983398438)",1
9733424298,926042255586,"(0.5421702861785889, 0.291658490896225)","(23.92670440673828, 216.94464111328125, 72.1243667602539)",1,4.8413238525390625,1,"(-14.990519523620605, -74.78302001953125, 866.343994140625)",1,"(0.5384531021118164, 0.2970709204673767)","(21.87477684020996, 215.36541748046875, 71.54959106445312)",1,4.51483154296875,1,"(49.55018615722656, -80.02362823486328, 865.5328979492188)",1
9733440938,926042272227,"(0.5467857122421265, 0.29748353362083435)","(26.474428176879883, 215.24502563476562, 71.50574493408203)",1,4.8535614013671875,1,"(-14.972805976867676, -74.81539154052734, 866.1952514648438)",1,"(0.538687527179718, 0.29578131437301636)","(22.004180908203125, 215.74169921875, 71.6865234375)",1,4.516815185546875,1,"(49.5655403137207, -80.08177947998047, 865.3876342773438)",1
9733456980,926042288269,"(0.546918511390686, 0.3061276078224182)","(26.547746658325195, 212.72286987304688, 70.58782958984375)",1,4.858795166015625,1,"(-14.941186904907227, -74.8062744140625, 865.9346923828125)",1,"(0.5305913686752319, 0.2795761525630951)","(17.535106658935547, 220.46995544433594, 73.40753173828125)",1,4.4822540283203125,1,"(49.57747268676758, -80.11250305175781, 865.1141967773438)",1
9733474218,926042305507,"(0.542837917804718, 0.3029922842979431)","(24.295272827148438, 213.63768005371094, 70.92081451416016)",1,4.8613128662109375,1,"(-14.900914192199707, -74.80354309082031, 865.9461059570312)",1,"(0.5330675840377808, 0.2861885130405426)","(18.902023315429688, 218.54061889648438, 72.70526885986328)",1,4.496734619140625,1,"(49.591148376464844, -80.13058471679688, 865.123291015625)",1
9733490858,926042322148,"(0.5426337718963623, 0.30497920513153076)","(24.18258285522461, 213.05796813964844, 70.70977783203125)",1,4.86962890625,1,"(-14.841328620910645, -74.77168273925781, 865.71044921875)",1,"(0.5334390997886658, 0.2885902523994446)","(19.10709571838379, 217.8398895263672, 72.4501953125)",1,4.5223541259765625,1,"(49.647865295410156, -80.10315704345703, 864.8815307617188)",1
9733506900,926042338190,"(0.52836674451828, 0.2898994982242584)","(16.30712127685547, 217.45787048339844, 72.3111801147461)",1,4.889923095703125,1,"(-14.846007347106934, -74.69977569580078, 865.4141845703125)",1,"(0.5445759296417236, 0.27789735794067383)","(25.254657745361328, 220.95977783203125, 73.5857925415039)",1,4.5273590087890625,1,"(49.545475006103516, -80.00973510742188, 864.5783081054688)",1
9733524138,926042355428,"(0.49308276176452637, 0.2548656165599823)","(-3.169743776321411, 227.67991638183594, 76.03166198730469)",1,4.903533935546875,1,"(-14.939932823181152, -74.58765411376953, 865.3399658203125)",1,"(0.5149070024490356, 0.2441360354423523)","(8.877305030822754, 230.810546875, 77.17115020751953)",1,4.529052734375,1,"(49.45978927612305, -79.91304779052734, 864.5158081054688)",1
9733540778,926042372069,"(0.4499700665473938, 0.18934908509254456)","(-26.968124389648438, 246.79611206054688, 82.98941040039062)",1,4.905303955078125,1,"(-15.005352020263672, -74.52535247802734, 866.0048828125)",1,"(0.44490519165992737, 0.14252132177352905)","(-29.763957977294922, 260.4593200683594, 87.96240234375)",1,4.6919097900390625,1,"(49.408939361572266, -79.89582824707031, 864.9332885742188)",1
9733556820,926042388111,"(0.4534371495246887, 0.19250017404556274)","(-25.05428695678711, 245.876708984375, 82.65474700927734)",1,4.9169158935546875,1,"(-15.023883819580078, -74.54393768310547, 866.2537841796875)",1,"(0.42890465259552, 0.20380230247974396)","(-38.59629440307617, 242.5789337158203, 81.45453643798828)",1,4.5482940673828125,1,"(49.43962478637695, -79.8115463256836, 865.4329223632812)",1
9733574058,926042405349,"(0.44906044006347656, 0.19116413593292236)","(-27.470237731933594, 246.26651000976562, 82.79664611816406)",1,4.9014892578125,1,"(-15.046944618225098, -74.52732849121094, 866.2098999023438)",1,"(0.4292433559894562, 0.209203839302063)","(-38.40932846069336, 241.00294494628906, 80.8808822631836)",1,4.5372314453125,1,"(49.414127349853516, -79.7899398803711, 865.3990478515625)",1
9733590698,926042421989,"(0.4529075622558594, 0.19490110874176025)","(-25.34662628173828, 245.17616271972656, 82.39978790283203)",1,4.890411376953125,1,"(-15.139857292175293, -74.47355651855469, 866.00244140625)",1,"(0.4717298746109009, 0.20830146968364716)","(-14.956639289855957, 241.26622009277344, 80.97673797607422)",1,4.542327880859375,1,"(49.223201751708984, -79.73053741455078, 865.1976928710938)",1
9733606740,926042438032,"(0.45568856596946716, 0.196935772895813)","(-23.81147575378418, 244.5824737548828, 82.18376922607422)",1,4.8856658935546875,1,"(-15.247655868530273, -74.40281677246094, 865.2886352539062)",1,"(0.43203404545783997, 0.20097051560878754)","(-36.86886215209961, 243.4052276611328, 81.7552490234375)",1,4.5025787353515625,1,"(49.1441764831543, -79.64285278320312, 864.4675903320312)",1
9733623978,926042455270,"(0.45375320315361023, 0.20097096264362335)","(-24.87983512878418, 243.4051055908203, 81.75523376464844)",1,4.8813629150390625,1,"(-15.30702018737793, -74.4198226928711, 865.4259033203125)",1,"(0.43563663959503174, 0.20849159359931946)","(-34.880226135253906, 241.21078491210938, 80.95649719238281)",1,4.5040130615234375,1,"(49.08802795410156, -79.6398696899414, 864.6063232421875)",1
9733640618,926042471910,"(0.45430415868759155, 0.20518390834331512)","(-24.575685501098633, 242.17588806152344, 81.30780029296875)",1,4.8701019287109375,1,"(-15.43016242980957, -74.46268463134766, 866.1673583984375)",1,"(0.4617083966732025, 0.2190706580877304)","(-20.488513946533203, 238.1240234375, 79.83303833007812)",1,4.5163116455078125,1,"(48.94580841064453, -79.69193267822266, 865.3567504882812)",1
9733656660,926042487952,"(0.45563265681266785, 0.20978683233261108)","(-23.842365264892578, 240.8328399658203, 80.8189697265625)",1,4.8440704345703125,1,"(-15.55167007446289, -74.51325988769531, 867.4794921875)",1,"(0.4376085698604584, 0.20255134999752045)","(-33.79168701171875, 242.94395446777344, 81.58736419677734)",1,4.493743896484375,1,"(49.007843017578125, -79.7941665649414, 866.74951171875)",1
9733673898,926042505191,"(0.4548482894897461, 0.22448119521141052)","(-24.275331497192383, 236.54541015625, 79.25843811035156)",1,4.826416015625,1,"(-15.598462104797363, -74.49742126464844, 867.6019287109375)",1,"(0.4517933130264282, 0.1999998241662979)","(-25.961685180664062, 243.68846130371094, 81.85833740234375)",1,4.4766998291015625,1,"(48.938255310058594, -79.79529571533203, 866.8719482421875)",1
9733690538,926042521831,"(0.45177823305130005, 0.21202455461025238)","(-25.96999168395996, 240.179931640625, 80.58128356933594)",1,4.8003082275390625,1,"(-15.687202453613281, -74.47642517089844, 867.0487670898438)",1,"(0.4789877235889435, 0.21989797055721283)","(-10.950261116027832, 237.8826446533203, 79.74522399902344)",1,4.4375457763671875,1,"(48.718421936035156, -79.6717529296875, 866.305908203125)",1
9733706580,926042537873,"(0.45696699619293213, 0.19989532232284546)","(-23.10577392578125, 243.7189178466797, 81.86942291259766)",1,4.7500457763671875,1,"(-15.861572265625, -74.43971252441406, 866.4682006835938)",1,"(0.4365941882133484, 0.21585313975811005)","(-34.35161209106445, 239.06280517578125, 80.17479705810547)",1,4.39459228515625,1,"(48.611114501953125, -79.585205078125, 865.7245483398438)",1
9733723818,926042555111,"(0.4591147303581238, 0.20922595262527466)","(-21.920236587524414, 240.99649047851562, 80.8785171508789)",1,4.7474517822265625,1,"(-16.01535987854004, -74.46865844726562, 866.9454345703125)",1,"(0.4380417466163635, 0.2220885157585144)","(-33.552589416503906, 237.2434539794922, 79.51258850097656)",1,4.3936767578125,1,"(48.50061798095703, -79.5872573852539, 866.1744384765625)",1
9733740458,926042571752,"(0.4552786946296692, 0.20665203034877777)","(-24.037742614746094, 241.74749755859375, 81.15189361572266)",1,4.7061614990234375,1,"(-16.308012008666992, -74.49552917480469, 867.3611450195312)",1,"(0.46543580293655396, 0.21045160293579102)","(-18.430953979492188, 240.63890075683594, 80.74832153320312)",1,4.3763275146484375,1,"(48.155906677246094, -79.57511138916016, 866.6146240234375)",1
9733756500,926042587794,"(0.4552200138568878, 0.2118321806192398)","(-24.07013702392578, 240.2360382080078, 80.60177612304688)",1,4.6873321533203125,1,"(-16.67295265197754, -74.5688247680664, 868.3320922851562)",1,"(0.44559720158576965, 0.20311686396598816)","(-29.381942749023438, 242.7789764404297, 81.52729797363281)",1,4.3213043212890625,1,"(47.92438507080078, -79.62079620361328, 867.667236328125)",1
9733773738,926042605032,"(0.46844956278800964, 0.20391681790351868)","(-16.767383575439453, 242.54554748535156, 81.44237518310547)",1,4.67041015625,1,"(-16.8719425201416, -74.61688232421875, 869.132568359375)",1,"(0.4518917500972748, 0.19976381957530975)","(-25.90734100341797, 243.75732421875, 81.88339233398438)",1,4.3278045654296875,1,"(47.80149459838867, -79.66360473632812, 868.4186401367188)",1
9733790378,926042621673,"(0.5075803399085999, 0.20102952420711517)","(4.832980632781982, 243.38803100585938, 81.74897003173828)",1,4.6507568359375,1,"(-17.114410400390625, -74.65027618408203, 870.0928344726562)",1,"(0.5114902257919312, 0.20246630907058716)","(6.991221904754639, 242.9687957763672, 81.59638977050781)",1,4.313812255859375,1,"(47.543907165527344, -79.63356018066406, 869.4445190429688)",1
