device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
9813662378,926122494948,"(0.3198486268520355, 0.6899954676628113)","(-98.79556274414062, 100.71932983398438, 29.821796417236328)",1,5.008026123046875,1,"(-19.622108459472656, -78.7052993774414, 870.4855346679688)",1,"(0.3053366541862488, 0.6666994094848633)","(-106.80622863769531, 107.51656341552734, 32.29579162597656)",1,4.75958251953125,1,"(45.129730224609375, -83.01949310302734, 869.9343872070312)",1
9813678420,926122510990,"(0.31102117896080017, 0.695275604724884)","(-103.6683578491211, 99.17869567871094, 29.261125564575195)",1,5.00738525390625,1,"(-19.48976707458496, -78.62042236328125, 869.7722778320312)",1,"(0.3038099706172943, 0.6689627170562744)","(-107.64897918701172, 106.856201171875, 32.05545425415039)",1,4.7646636962890625,1,"(45.19108581542969, -82.96411895751953, 869.1781616210938)",1
9813695658,926122528228,"(0.31248459219932556, 0.6903372406959534)","(-102.86055755615234, 100.61959838867188, 29.78557586669922)",1,5.0100250244140625,1,"(-19.469287872314453, -78.6222915649414, 869.8645629882812)",1,"(0.3056817948818207, 0.6740655303001404)","(-106.6157455444336, 105.36732482910156, 31.513530731201172)",1,4.7703399658203125,1,"(45.21125793457031, -82.96086120605469, 869.2627563476562)",1
9813712298,926122544869,"(0.3129757046699524, 0.6837696433067322)","(-102.58946228027344, 102.53587341308594, 30.483020782470703)",1,5.0174102783203125,1,"(-19.495641708374023, -78.65773010253906, 870.5595703125)",1,"(0.3012182116508484, 0.6567802429199219)","(-109.07962799072266, 110.41073608398438, 33.34918212890625)",1,4.7852020263671875,1,"(45.25347900390625, -83.02780151367188, 869.980224609375)",1
9813728340,926122560911,"(0.3112516403198242, 0.6822087168693542)","(-103.54117584228516, 102.99132537841797, 30.648761749267578)",1,5.026824951171875,1,"(-19.55915069580078, -78.70525360107422, 871.1090087890625)",1,"(0.3054680824279785, 0.650104284286499)","(-106.73371887207031, 112.35863494873047, 34.05817794799805)",1,4.784637451171875,1,"(45.21559524536133, -83.06356811523438, 870.55615234375)",1
9813745578,926122578149,"(0.3174174427986145, 0.6814716458320618)","(-100.13761901855469, 103.20636749267578, 30.727060317993164)",1,5.027496337890625,1,"(-19.617403030395508, -78.73982238769531, 871.4301147460938)",1,"(0.3161294162273407, 0.6500754952430725)","(-100.8486099243164, 112.36703491210938, 34.06124496459961)",1,4.78302001953125,1,"(45.16847610473633, -83.08045959472656, 870.846923828125)",1
9813762218,926122594790,"(0.3169313371181488, 0.677156925201416)","(-100.40594482421875, 104.46530151367188, 31.18524169921875)",1,5.0274810791015625,1,"(-19.665302276611328, -78.77149200439453, 871.781494140625)",1,"(0.31987473368644714, 0.6348282098770142)","(-98.78118133544922, 116.81584167480469, 35.68043899536133)",1,4.796295166015625,1,"(45.138946533203125, -83.09260559082031, 871.2521362304688)",1
9813778260,926122610832,"(0.31931671500205994, 0.681515097618103)","(-99.08918762207031, 103.19367980957031, 30.722442626953125)",1,5.0278778076171875,1,"(-19.663835525512695, -78.70864868164062, 871.3577270507812)",1,"(0.3148058354854584, 0.6427422165870667)","(-101.57925415039062, 114.50672912597656, 34.840023040771484)",1,4.7989959716796875,1,"(45.1176872253418, -82.99369049072266, 870.7971801757812)",1
9813795498,926122628070,"(0.3187541663646698, 0.6802456974983215)","(-99.39974212646484, 103.5640640258789, 30.85724639892578)",1,5.0337982177734375,1,"(-19.646141052246094, -78.69023132324219, 871.1212768554688)",1,"(0.31315627694129944, 0.6416302919387817)","(-102.48979187011719, 114.83113861083984, 34.95812225341797)",1,4.7882232666015625,1,"(45.115169525146484, -82.96660614013672, 870.5888671875)",1
9813812138,926122644711,"(0.3173452615737915, 0.6792115569114685)","(-100.17745208740234, 103.86579895019531, 30.96709632873535)",1,5.038726806640625,1,"(-19.609630584716797, -78.6637954711914, 870.775146484375)",1,"(0.3130055367946625, 0.6533181667327881)","(-102.57300567626953, 111.4208984375, 33.71686935424805)",1,4.7872314453125,1,"(45.11283493041992, -82.92176055908203, 870.2252197265625)",1
9813828180,926122660753,"(0.31626665592193604, 0.6768255233764648)","(-100.7728500366211, 104.5619888305664, 31.22048568725586)",1,5.0404205322265625,1,"(-19.572242736816406, -78.61702728271484, 870.49169921875)",1,"(0.3135375380516052, 0.6344238519668579)","(-102.27934265136719, 116.93380737304688, 35.72342300415039)",1,4.7928009033203125,1,"(45.1213264465332, -82.91695404052734, 869.9249877929688)",1
9813845418,926122677991,"(0.3150651156902313, 0.6809530854225159)","(-101.43609619140625, 103.357666015625, 30.782142639160156)",1,5.040679931640625,1,"(-19.552709579467773, -78.59239196777344, 870.4855346679688)",1,"(0.31116464734077454, 0.6363500356674194)","(-103.58917999267578, 116.3718032836914, 35.51887512207031)",1,4.8123016357421875,1,"(45.133995056152344, -82.91748046875, 869.91552734375)",1
9813862058,926122694631,"(0.3142833411693573, 0.6821064949035645)","(-101.86763000488281, 103.02112579345703, 30.65961456298828)",1,5.0423126220703125,1,"(-19.541683197021484, -78.59197998046875, 870.73486328125)",1,"(0.3079601228237152, 0.6406370997428894)","(-105.35809326171875, 115.12093353271484, 35.06357955932617)",1,4.820404052734375,1,"(45.15953063964844, -82.94251251220703, 870.1633911132812)",1
9813878100,926122710674,"(0.3289774954319, 0.6161597967147827)","(-93.75642395019531, 122.26282501220703, 37.662994384765625)",1,5.0752105712890625,1,"(-19.42842674255371, -78.44389343261719, 871.313232421875)",1,"(0.34976789355278015, 0.560227632522583)","(-82.28005981445312, 138.58250427246094, 43.6028938293457)",1,4.8728179931640625,1,"(45.254364013671875, -82.85414123535156, 870.7661743164062)",1
9813895338,926122727912,"(0.3583475351333618, 0.4598824977874756)","(-77.54405975341797, 167.86087036132812, 54.25931167602539)",1,5.104766845703125,1,"(-19.281780242919922, -78.22277069091797, 871.3237915039062)",1,"(0.37961602210998535, 0.422050416469574)","(-65.80376434326172, 178.89935302734375, 58.27700424194336)",1,4.92120361328125,1,"(45.29690170288086, -82.65965270996094, 870.7644653320312)",1
9813911978,926122744552,"(0.39491021633148193, 0.3045116662979126)","(-57.36134338378906, 213.19436645507812, 70.75944519042969)",1,5.0757598876953125,1,"(-19.141977310180664, -77.91416931152344, 870.9264526367188)",1,"(0.38216495513916016, 0.28601136803627014)","(-64.39677429199219, 218.59234619140625, 72.72403717041016)",1,4.8538970947265625,1,"(45.29851531982422, -82.26436614990234, 870.3428344726562)",1
9813927895,926122760469,"(0.3951473832130432, 0.314755380153656)","(-57.23041915893555, 210.20550537109375, 69.67153930664062)",1,5.07806396484375,1,"(-19.1530704498291, -77.90531921386719, 870.7568359375)",1,"(0.34318608045578003, 0.3215488791465759)","(-85.9132308959961, 208.22332763671875, 68.95006561279297)",1,4.8592376708984375,1,"(45.42005157470703, -82.20291137695312, 870.1553344726562)",1
9813945258,926122777833,"(0.392905056476593, 0.30785447359085083)","(-58.46818161010742, 212.21900939941406, 70.4043960571289)",1,5.068328857421875,1,"(-19.161609649658203, -77.92443084716797, 871.0008544921875)",1,"(0.3443564772605896, 0.32811060547828674)","(-85.2671890258789, 206.30877685546875, 68.25325012207031)",1,4.8423004150390625,1,"(45.43857192993164, -82.20923614501953, 870.3948974609375)",1
9813961898,926122794473,"(0.38647106289863586, 0.3003592789173126)","(-62.01980972290039, 214.4059600830078, 71.20036315917969)",1,5.041595458984375,1,"(-19.185867309570312, -77.91192626953125, 871.1396484375)",1,"(0.3434782028198242, 0.3186049163341522)","(-85.75198364257812, 209.082275390625, 69.2627182006836)",1,4.8081512451171875,1,"(45.44917678833008, -82.197265625, 870.5694580078125)",1
9813977815,926122810391,"(0.35377347469329834, 0.23913796246051788)","(-80.0689468383789, 232.26889038085938, 77.7019271850586)",1,5.0098114013671875,1,"(-19.266613006591797, -77.6795883178711, 869.5459594726562)",1,"(0.3217727839946747, 0.24768701195716858)","(-97.73344421386719, 229.7744598388672, 76.79402923583984)",1,4.721710205078125,1,"(45.20744323730469, -81.92073059082031, 868.93310546875)",1
9813995178,926122827754,"(0.3295881152153015, 0.19152772426605225)","(-93.41937255859375, 246.16041564941406, 82.7580337524414)",1,4.9723968505859375,1,"(-19.37782096862793, -77.58809661865234, 869.633544921875)",1,"(0.2986159920692444, 0.17885532975196838)","(-110.51607513427734, 249.85794067382812, 84.10379028320312)",1,4.7061614990234375,1,"(45.0667724609375, -81.87427520751953, 869.0247192382812)",1
9814011818,926122844394,"(0.3305584490299225, 0.1612669974565506)","(-92.88373565673828, 254.9897918701172, 85.9717025756836)",1,4.89306640625,1,"(-19.556447982788086, -77.63725280761719, 870.197021484375)",1,"(0.27021220326423645, 0.17595785856246948)","(-126.19507598876953, 250.70333862304688, 84.41151428222656)",1,4.705718994140625,1,"(45.01143264770508, -81.88819885253906, 869.668701171875)",1
9814027731,926122860308,"(0.32998982071876526, 0.16597087681293488)","(-93.1976318359375, 253.61729431152344, 85.47213745117188)",1,4.8148193359375,1,"(-19.662235260009766, -77.49580383300781, 868.4673461914062)",1,"(0.2567085325717926, 0.19078058004379272)","(-133.64913940429688, 246.37840270996094, 82.83739471435547)",1,4.59088134765625,1,"(44.848323822021484, -81.70338439941406, 867.8660278320312)",1
9814045098,926122877675,"(0.3272906243801117, 0.16068176925182343)","(-94.6875991821289, 255.16053771972656, 86.03384399414062)",1,4.7772216796875,1,"(-19.705337524414062, -77.40238952636719, 867.1477661132812)",1,"(0.25959110260009766, 0.19696278870105743)","(-132.05795288085938, 244.5745849609375, 82.18086242675781)",1,4.563751220703125,1,"(44.72770309448242, -81.58903503417969, 866.6488647460938)",1
9814061738,926122894315,"(0.33443474769592285, 0.15649689733982086)","(-90.74398803710938, 256.381591796875, 86.4782485961914)",1,4.690277099609375,1,"(-19.791719436645508, -77.23468780517578, 864.7057495117188)",1,"(0.30062994360923767, 0.18486949801445007)","(-109.40438079833984, 248.10313415527344, 83.46517944335938)",1,4.4764556884765625,1,"(44.41999435424805, -81.37784576416016, 864.172119140625)",1
9814077780,926122910357,"(0.3291199803352356, 0.14388760924339294)","(-93.67778015136719, 260.0606689453125, 87.81730651855469)",1,4.63177490234375,1,"(-19.898473739624023, -77.18937683105469, 864.1881713867188)",1,"(0.30131101608276367, 0.15815380215644836)","(-109.0284194946289, 255.8981475830078, 86.30227661132812)",1,4.394683837890625,1,"(44.22810363769531, -81.3346176147461, 863.65771484375)",1
9814095018,926122927596,"(0.31913620233535767, 0.1364068239927292)","(-99.1888656616211, 262.243408203125, 88.6117172241211)",1,4.582244873046875,1,"(-19.928377151489258, -77.13362121582031, 864.009521484375)",1,"(0.295821875333786, 0.14832551777362823)","(-112.05844116210938, 258.76580810546875, 87.34599304199219)",1,4.3464508056640625,1,"(44.168846130371094, -81.2677001953125, 863.48828125)",1
9814111658,926122944236,"(0.3233174979686737, 0.12558746337890625)","(-96.8807601928711, 265.4002380371094, 89.76075744628906)",1,4.51422119140625,1,"(-19.993871688842773, -77.1496810913086, 864.2385864257812)",1,"(0.2998036742210388, 0.1357780247926712)","(-109.8604736328125, 262.4268493652344, 88.67853546142578)",1,4.31829833984375,1,"(44.089691162109375, -81.28114318847656, 863.7077026367188)",1
9814127700,926122960278,"(0.3254934847354889, 0.12275178730487823)","(-95.67959594726562, 266.2276306152344, 90.06188201904297)",1,4.4471893310546875,1,"(-20.076824188232422, -77.1590576171875, 864.6024169921875)",1,"(0.3044677972793579, 0.12729419767856598)","(-107.28585052490234, 264.9022216796875, 89.57950592041016)",1,4.2163543701171875,1,"(44.0765266418457, -81.2942886352539, 864.087158203125)",1
9814144938,926122977516,"(0.3258407711982727, 0.13737177848815918)","(-95.48789978027344, 261.96185302734375, 88.50928497314453)",1,4.42205810546875,1,"(-20.12379264831543, -77.15245056152344, 864.8285522460938)",1,"(0.30915653705596924, 0.12072010338306427)","(-104.69763946533203, 266.8204040527344, 90.27765655517578)",1,4.2043609619140625,1,"(44.044742584228516, -81.30938720703125, 864.3018798828125)",1
9814161578,926122994157,"(0.31732121109962463, 0.15533146262168884)","(-100.19074249267578, 256.7216491699219, 86.60198974609375)",1,4.3952789306640625,1,"(-20.236392974853516, -77.157470703125, 864.944580078125)",1,"(0.30248743295669556, 0.11814644187688828)","(-108.3790283203125, 267.57135009765625, 90.55099487304688)",1,4.177276611328125,1,"(43.93453598022461, -81.3161392211914, 864.4280395507812)",1
9814177620,926123010199,"(0.2920883595943451, 0.12699352204799652)","(-114.11936950683594, 264.9899597167969, 89.61151123046875)",1,4.32861328125,1,"(-20.381818771362305, -77.23006439208984, 865.4645385742188)",1,"(0.276570588350296, 0.1252789944410324)","(-122.68521881103516, 265.4902038574219, 89.79353332519531)",1,4.1269989013671875,1,"(43.852989196777344, -81.3597640991211, 864.9769897460938)",1
9814194858,926123027438,"(0.29393571615219116, 0.11356375366449356)","(-113.099609375, 268.9084167480469, 91.03773498535156)",1,4.3083953857421875,1,"(-20.439531326293945, -77.28885650634766, 865.6124877929688)",1,"(0.28148964047431946, 0.13049283623695374)","(-119.9698715209961, 263.96893310546875, 89.23986053466797)",1,4.1110687255859375,1,"(43.7886962890625, -81.37986755371094, 865.1243896484375)",1
9814211498,926123044078,"(0.29585614800453186, 0.12978285551071167)","(-112.03952026367188, 264.1761474609375, 89.315185546875)",1,4.2917938232421875,1,"(-20.5339298248291, -77.3270263671875, 865.5333251953125)",1,"(0.2839677929878235, 0.14443378150463104)","(-118.60192108154297, 259.9012756347656, 87.7593765258789)",1,4.076263427734375,1,"(43.69697952270508, -81.37440490722656, 865.063720703125)",1
9814227540,926123060120,"(0.29987993836402893, 0.13140632212162018)","(-109.81837463378906, 263.7024230957031, 89.14281463623047)",1,4.2474212646484375,1,"(-20.628063201904297, -77.3604965209961, 865.3480834960938)",1,"(0.28189003467559814, 0.14776819944381714)","(-119.74886322021484, 258.92840576171875, 87.40522766113281)",1,4.039825439453125,1,"(43.59851837158203, -81.38695526123047, 864.8710327148438)",1
