device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
9075023458,925383844153,"(0.45929789543151855, 0.5555697679519653)","(-21.819110870361328, 139.94155883789062, 44.0975227355957)",1,4.7720489501953125,1,"(-16.27817153930664, -56.042198181152344, 830.4862060546875)",1,"(0.42185497283935547, 0.5213636755943298)","(-42.48772048950195, 149.92208862304688, 47.73017501831055)",1,4.848785400390625,1,"(46.93857955932617, -59.22273254394531, 829.5271606445312)",1
9075040696,925383861392,"(0.45238080620765686, 0.5383920669555664)","(-25.63739776611328, 144.95358276367188, 45.921791076660156)",1,4.775787353515625,1,"(-16.18622398376465, -56.065879821777344, 831.3446044921875)",1,"(0.41620537638664246, 0.514985978603363)","(-45.6063232421875, 151.78294372558594, 48.407447814941406)",1,4.8531646728515625,1,"(47.07293701171875, -59.24577713012695, 830.3095703125)",1
9075057336,925383878032,"(0.455310195684433, 0.5336266160011292)","(-24.02033042907715, 146.3440399169922, 46.427879333496094)",1,4.7941131591796875,1,"(-16.069137573242188, -56.12076950073242, 832.925048828125)",1,"(0.4168449640274048, 0.5241880416870117)","(-45.25331115722656, 149.09800720214844, 47.43022918701172)",1,4.85675048828125,1,"(47.31122589111328, -59.30345916748047, 831.9344482421875)",1
9075073378,925383894074,"(0.45763176679611206, 0.531956672668457)","(-22.73880958557129, 146.83131408691406, 46.605220794677734)",1,4.8048248291015625,1,"(-15.950722694396973, -56.20558166503906, 834.4912719726562)",1,"(0.41989216208457947, 0.5169492363929749)","(-43.571224212646484, 151.2101287841797, 48.198974609375)",1,4.853515625,1,"(47.546199798583984, -59.44157409667969, 833.5067138671875)",1
9075090616,925383911312,"(0.46018245816230774, 0.5283482074737549)","(-21.330856323242188, 147.88418579101562, 46.98845672607422)",1,4.814300537109375,1,"(-15.87853717803955, -56.25364303588867, 834.9404296875)",1,"(0.43430596590042114, 0.5286883115768433)","(-35.614768981933594, 147.78497314453125, 46.952301025390625)",1,4.857574462890625,1,"(47.61262512207031, -59.48345947265625, 833.9205322265625)",1
9075107256,925383927953,"(0.4566117227077484, 0.5388714075088501)","(-23.301876068115234, 144.81373596191406, 45.870906829833984)",1,4.816192626953125,1,"(-15.76595687866211, -56.335086822509766, 835.8108520507812)",1,"(0.4298705756664276, 0.5122096538543701)","(-38.06309509277344, 152.593017578125, 48.70227813720703)",1,4.8660125732421875,1,"(47.79008865356445, -59.63956832885742, 834.78515625)",1
9075123298,925383943995,"(0.4501536786556244, 0.5441886186599731)","(-26.86675262451172, 143.26229858398438, 45.30622863769531)",1,4.816009521484375,1,"(-15.666507720947266, -56.454158782958984, 836.8359375)",1,"(0.425906240940094, 0.5238314867019653)","(-40.251399993896484, 149.20204162597656, 47.468101501464844)",1,4.862030029296875,1,"(47.95633316040039, -59.79841232299805, 835.8190307617188)",1
9075140536,925383961233,"(0.4535931646823883, 0.5485844612121582)","(-24.968143463134766, 141.97972106933594, 44.8393669128418)",1,4.814056396484375,1,"(-15.646796226501465, -56.534481048583984, 837.4320068359375)",1,"(0.4311019480228424, 0.5313909649848938)","(-37.38338088989258, 146.99639892578125, 46.6652946472168)",1,4.8614501953125,1,"(48.013084411621094, -59.8714714050293, 836.3661499023438)",1
9075157176,925383977873,"(0.45643290877342224, 0.5347588062286377)","(-23.400623321533203, 146.01370239257812, 46.30765151977539)",1,4.819000244140625,1,"(-15.616445541381836, -56.67015075683594, 838.252685546875)",1,"(0.412400484085083, 0.6459499001502991)","(-47.706634521484375, 113.57079315185547, 34.4993782043457)",1,4.8549652099609375,1,"(48.16375732421875, -59.79830551147461, 837.2383422851562)",1
9075173218,925383993916,"(0.4571859836578369, 0.5249533653259277)","(-22.984926223754883, 148.8747100830078, 47.34894943237305)",1,4.817626953125,1,"(-15.59168815612793, -56.72521209716797, 838.5112915039062)",1,"(0.4297589659690857, 0.5326886177062988)","(-38.12472915649414, 146.61776733398438, 46.52744674682617)",1,4.8594970703125,1,"(48.155277252197266, -60.017921447753906, 837.5006713867188)",1
