device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
9028232376,925337052308,"(0.49996715784072876, 0.8651803135871887)","(0.6304536461830139, 49.60450744628906, 11.217574119567871)",1,4.3380126953125,1,"(-11.8301362991333, -59.648983001708984, 842.7452392578125)",1,"(0.4790234863758087, 0.7874222993850708)","(-10.930505752563477, 72.29247283935547, 19.475332260131836)",1,4.35675048828125,1,"(52.436553955078125, -64.92009735107422, 841.56591796875)",1
9028248418,925337068350,"(0.4984206557273865, 0.8594126105308533)","(-0.22324331104755402, 51.28742980957031, 11.83006477355957)",1,4.3368988037109375,1,"(-11.894546508789062, -59.72059631347656, 843.8595581054688)",1,"(0.48457422852516174, 0.771878719329834)","(-7.866493225097656, 76.82774353027344, 21.125988006591797)",1,4.333953857421875,1,"(52.45829772949219, -64.98600006103516, 842.7166137695312)",1
9028265656,925337085589,"(0.5014246702194214, 0.8545736074447632)","(1.4349831342697144, 52.6993408203125, 12.34394359588623)",1,4.33355712890625,1,"(-11.941873550415039, -59.747093200683594, 844.3589477539062)",1,"(0.4859282076358795, 0.7623609304428101)","(-7.119097709655762, 79.60480499267578, 22.136737823486328)",1,4.326324462890625,1,"(52.45974349975586, -65.00981903076172, 843.1693115234375)",1
9028282296,925337102229,"(0.5052046775817871, 0.8527613878250122)","(3.5215556621551514, 53.22809600830078, 12.536449432373047)",1,4.32879638671875,1,"(-11.980146408081055, -59.72417068481445, 844.523681640625)",1,"(0.4906669557094574, 0.7577431201934814)","(-4.503302097320557, 80.95216369628906, 22.627120971679688)",1,4.318450927734375,1,"(52.44040298461914, -64.99219512939453, 843.35205078125)",1
9028298338,925337118271,"(0.5046207308769226, 0.8511388897895813)","(3.1992688179016113, 53.70146560668945, 12.708757400512695)",1,4.3166046142578125,1,"(-11.958233833312988, -59.66168212890625, 844.21923828125)",1,"(0.48761752247810364, 0.7569364905357361)","(-6.18658447265625, 81.18753051757812, 22.712806701660156)",1,4.3176727294921875,1,"(52.440284729003906, -64.94874572753906, 843.028076171875)",1
9028315576,925337135509,"(0.5000763535499573, 0.8525184988975525)","(0.6907095909118652, 53.298946380615234, 12.562250137329102)",1,4.310455322265625,1,"(-11.923689842224121, -59.63658142089844, 844.083984375)",1,"(0.4840700924396515, 0.7608016729354858)","(-8.144803047180176, 80.0597915649414, 22.30230140686035)",1,4.3155364990234375,1,"(52.4677619934082, -64.93476867675781, 842.9042358398438)",1
9028332216,925337152150,"(0.49891167879104614, 0.8440420627593994)","(0.04782891646027565, 55.772178649902344, 13.46236801147461)",1,4.3087921142578125,1,"(-11.878931045532227, -59.61659622192383, 843.9337768554688)",1,"(0.48781901597976685, 0.7561972141265869)","(-6.075371742248535, 81.40322875976562, 22.79134750366211)",1,4.3073577880859375,1,"(52.490623474121094, -64.9188461303711, 842.7496337890625)",1
9028348258,925337168192,"(0.5005195736885071, 0.8326845169067383)","(0.9353975653648376, 59.086021423339844, 14.668588638305664)",1,4.2978057861328125,1,"(-11.849085807800293, -59.611106872558594, 843.9453735351562)",1,"(0.4848024249076843, 0.7459211945533752)","(-7.740530014038086, 84.40153503417969, 23.882659912109375)",1,4.2906646728515625,1,"(52.54001998901367, -64.90872192382812, 842.768310546875)",1
9028365496,925337185430,"(0.5040024518966675, 0.8266371488571167)","(2.857954263687134, 60.850502014160156, 15.310782432556152)",1,4.2954864501953125,1,"(-11.840096473693848, -59.61280822753906, 844.0150756835938)",1,"(0.48687615990638733, 0.7448376417160034)","(-6.5958170890808105, 84.71768951416016, 23.99773406982422)",1,4.286834716796875,1,"(52.551517486572266, -64.91693115234375, 842.8291625976562)",1
9028382136,925337202070,"(0.5046033263206482, 0.8316388130187988)","(3.1896555423736572, 59.39113235473633, 14.779573440551758)",1,4.29095458984375,1,"(-11.837900161743164, -59.64424514770508, 844.2723388671875)",1,"(0.49139830470085144, 0.7515705227851868)","(-4.099569797515869, 82.75320434570312, 23.282676696777344)",1,4.2848358154296875,1,"(52.566551208496094, -64.94617462158203, 843.0929565429688)",1
