device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
9019762018,925328581819,"(0.4953511655330658, 0.3424459993839264)","(-1.9176026582717896, 202.12603759765625, 66.73082733154297)",1,4.7664337158203125,1,"(-11.86276912689209, -60.332122802734375, 843.8729248046875)",1,"(0.48094746470451355, 0.28818750381469727)","(-9.868499755859375, 217.9573974609375, 72.49295806884766)",1,4.7769317626953125,1,"(53.085060119628906, -65.78008270263672, 842.7005004882812)",1
9019779191,925328598992,"(0.4944162964820862, 0.33536669611930847)","(-2.4336605072021484, 204.19161987304688, 67.48262786865234)",1,4.7755126953125,1,"(-11.875288009643555, -60.36125564575195, 844.2481079101562)",1,"(0.4781380891799927, 0.2868446707725525)","(-11.419280052185059, 218.34918212890625, 72.63554382324219)",1,4.782257080078125,1,"(53.096275329589844, -65.80517578125, 843.0486450195312)",1
9019795896,925328615698,"(0.49430784583091736, 0.3312995731830597)","(-2.49348783493042, 205.37828063964844, 67.91456604003906)",1,4.78350830078125,1,"(-11.89177417755127, -60.393798828125, 844.7498779296875)",1,"(0.4761536717414856, 0.28164345026016235)","(-12.514683723449707, 219.8667755126953, 73.18795013427734)",1,4.795074462890625,1,"(53.114471435546875, -65.83718872070312, 843.5731201171875)",1
9019811938,925328631740,"(0.49653127789497375, 0.3347747325897217)","(-1.2661749124526978, 204.3643035888672, 67.5455322265625)",1,4.807373046875,1,"(-11.913084983825684, -60.40005874633789, 844.9061279296875)",1,"(0.4805167317390442, 0.28530946373939514)","(-10.106253623962402, 218.79713439941406, 72.79859924316406)",1,4.80413818359375,1,"(53.099246978759766, -65.82695007324219, 843.727294921875)",1
9019829157,925328648959,"(0.49622052907943726, 0.3323288857936859)","(-1.4377121925354004, 205.07797241210938, 67.80528259277344)",1,4.7996063232421875,1,"(-11.92098617553711, -60.40029525756836, 844.931640625)",1,"(0.48440253734588623, 0.28410112857818604)","(-7.961274147033691, 219.14967346191406, 72.92694091796875)",1,4.803619384765625,1,"(53.09027862548828, -65.8194808959961, 843.7513427734375)",1
9019845816,925328665618,"(0.4930325448513031, 0.3322744369506836)","(-3.197495698928833, 205.09385681152344, 67.81106567382812)",1,4.804962158203125,1,"(-11.923380851745605, -60.39252853393555, 844.8858032226562)",1,"(0.48528578877449036, 0.2878674566745758)","(-7.473689556121826, 218.05072021484375, 72.52698516845703)",1,4.7982940673828125,1,"(53.070701599121094, -65.78132629394531, 843.7075805664062)",1
9019861858,925328681661,"(0.49615705013275146, 0.3329789936542511)","(-1.4727367162704468, 204.8882598876953, 67.7362289428711)",1,4.8080291748046875,1,"(-11.948086738586426, -60.3541145324707, 844.68115234375)",1,"(0.48625409603118896, 0.2965078353881836)","(-6.939214706420898, 215.5297088623047, 71.60939025878906)",1,4.80322265625,1,"(53.03287887573242, -65.72860717773438, 843.4917602539062)",1
9019879096,925328698899,"(0.5002434253692627, 0.3270851969718933)","(0.7829446792602539, 206.60794067382812, 68.36212158203125)",1,4.813232421875,1,"(-11.965181350708008, -60.34027862548828, 844.46337890625)",1,"(0.48663318157196045, 0.29738906025886536)","(-6.72996187210083, 215.2725830078125, 71.51582336425781)",1,4.8178558349609375,1,"(53.005496978759766, -65.70067596435547, 843.290771484375)",1
9019895736,925328715539,"(0.5001307725906372, 0.3237455189228058)","(0.7207537889480591, 207.58238220214844, 68.7168197631836)",1,4.8149566650390625,1,"(-11.995122909545898, -60.33776092529297, 844.0804443359375)",1,"(0.4861942529678345, 0.28433188796043396)","(-6.972249984741211, 219.08238220214844, 72.90242767333984)",1,4.808380126953125,1,"(52.95215606689453, -65.67292785644531, 842.9038696289062)",1
9019911778,925328731581,"(0.49771833419799805, 0.33314335346221924)","(-0.6109173893928528, 204.84034729003906, 67.71876525878906)",1,4.8255615234375,1,"(-12.025233268737793, -60.315757751464844, 843.54443359375)",1,"(0.4805879592895508, 0.28459104895591736)","(-10.066926002502441, 219.00674438476562, 72.87492370605469)",1,4.8065948486328125,1,"(52.89666748046875, -65.6510238647461, 842.3515014648438)",1
9019929016,925328748820,"(0.5001826286315918, 0.32937517762184143)","(0.7494015693664551, 205.93980407714844, 68.11894989013672)",1,4.82110595703125,1,"(-12.041277885437012, -60.3264045715332, 843.3433227539062)",1,"(0.4831191599369049, 0.2830555737018585)","(-8.669673919677734, 219.45472717285156, 73.03799438476562)",1,4.8125457763671875,1,"(52.86531448364258, -65.65885162353516, 842.1668701171875)",1
9019945656,925328765460,"(0.49952954053878784, 0.33123779296875)","(0.3888973295688629, 205.39633178710938, 67.9211196899414)",1,4.8209991455078125,1,"(-12.060632705688477, -60.32645797729492, 843.2299194335938)",1,"(0.48737049102783203, 0.26220703125)","(-6.322935581207275, 225.53785705566406, 75.2520980834961)",1,4.8076019287109375,1,"(52.81794738769531, -65.70909881591797, 842.0406494140625)",1
9019961698,925328781502,"(0.5015808343887329, 0.33572980761528015)","(1.5212123394012451, 204.08563232421875, 67.44412231445312)",1,4.83416748046875,1,"(-12.089408874511719, -60.327171325683594, 843.5840454101562)",1,"(0.4832329750061035, 0.2697683870792389)","(-8.606887817382812, 223.33163452148438, 74.44908142089844)",1,4.835693359375,1,"(52.827091217041016, -65.7300033569336, 842.4113159179688)",1
9019978886,925328798691,"(0.5023207068443298, 0.3395950198173523)","(1.929614782333374, 202.95787048339844, 67.03364562988281)",1,4.84552001953125,1,"(-12.09989070892334, -60.32223129272461, 843.861083984375)",1,"(0.482085257768631, 0.2658754885196686)","(-9.2404146194458, 224.4674835205078, 74.86250305175781)",1,4.8312835693359375,1,"(52.83616256713867, -65.73405456542969, 842.6696166992188)",1
9019995576,925328815380,"(0.4939989745616913, 0.3300415873527527)","(-2.664015054702759, 205.74534606933594, 68.04817199707031)",1,4.8513336181640625,1,"(-12.11151123046875, -60.33663558959961, 844.3793334960938)",1,"(0.48149001598358154, 0.2882677912712097)","(-9.569003105163574, 217.93397521972656, 72.48442077636719)",1,4.8368072509765625,1,"(52.84476852416992, -65.69268798828125, 843.208251953125)",1
9020011618,925328831423,"(0.4274650812149048, 0.2715799808502197)","(-39.390953063964844, 222.80308532714844, 74.25666046142578)",1,4.8730926513671875,1,"(-12.300262451171875, -60.29582214355469, 844.6314697265625)",1,"(0.4110262989997864, 0.25553208589553833)","(-48.46522521972656, 227.48545837402344, 75.96090698242188)",1,4.851715087890625,1,"(52.66468811035156, -65.57262420654297, 843.4583129882812)",1
9020028852,925328848657,"(0.39536628127098083, 0.24090033769607544)","(-57.10959243774414, 231.75465393066406, 77.51480102539062)",1,4.8628387451171875,1,"(-12.361549377441406, -60.2484016418457, 843.9982299804688)",1,"(0.3753012418746948, 0.23042415082454681)","(-68.18556213378906, 234.81137084960938, 78.62733459472656)",1,4.86248779296875,1,"(52.52018356323242, -65.51866149902344, 842.8729248046875)",1
9020045496,925328865301,"(0.39362025260925293, 0.2501288652420044)","(-58.07341384887695, 229.06198120117188, 76.53475189208984)",1,4.8555755615234375,1,"(-12.371980667114258, -60.21302795410156, 843.2858276367188)",1,"(0.35244232416152954, 0.2321605086326599)","(-80.80372619628906, 234.30470275878906, 78.44294738769531)",1,4.8931121826171875,1,"(52.49187469482422, -65.47264099121094, 842.1448974609375)",1
9020061538,925328881343,"(0.3921341896057129, 0.25557824969291687)","(-58.893714904785156, 227.47201538085938, 75.95600128173828)",1,4.8318939208984375,1,"(-12.417704582214355, -60.226829528808594, 843.335205078125)",1,"(0.3440885841846466, 0.23731562495231628)","(-85.41504669189453, 232.80059814453125, 77.89545440673828)",1,4.8740234375,1,"(52.478214263916016, -65.47716522216797, 842.1665649414062)",1
9020078776,925328898582,"(0.3972514867782593, 0.2611332833766937)","(-56.06895446777344, 225.85116577148438, 75.36608123779297)",1,4.8231964111328125,1,"(-12.472820281982422, -60.225582122802734, 843.2271118164062)",1,"(0.3446072041988373, 0.23772892355918884)","(-85.12876892089844, 232.67999267578125, 77.85154724121094)",1,4.87384033203125,1,"(52.42932891845703, -65.47569274902344, 842.0614013671875)",1
9020095416,925328915222,"(0.407105416059494, 0.26605793833732605)","(-50.62953567504883, 224.4142608642578, 74.84312438964844)",1,4.793914794921875,1,"(-12.579676628112793, -60.23756790161133, 842.9548950195312)",1,"(0.36434051394462585, 0.24366097152233124)","(-74.23592376708984, 230.9491729736328, 77.22157287597656)",1,4.8444976806640625,1,"(52.28567886352539, -65.47020721435547, 841.797119140625)",1
