device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
13375281363,929684170424,"(0.592230498790741, 0.4678339660167694)","(51.560123443603516, 165.5408172607422, 53.414859771728516)",1,4.25067138671875,1,"(-105.30770111083984, -141.14793395996094, 800.9359130859375)",1,"(0.5917202234268188, 0.47835084795951843)","(51.278438568115234, 162.47222900390625, 52.29802703857422)",1,4.3539886474609375,1,"(-38.24964141845703, -140.59400939941406, 806.8661499023438)",1
13375297405,929684186466,"(0.597769021987915, 0.4594537615776062)","(54.61739730834961, 167.98597717285156, 54.30488967895508)",1,4.2530517578125,1,"(-105.3485107421875, -141.18592834472656, 801.1558227539062)",1,"(0.5921558737754822, 0.4779087007045746)","(51.51891326904297, 162.6012420654297, 52.3449592590332)",1,4.3665008544921875,1,"(-38.26215744018555, -140.61891174316406, 807.089111328125)",1
13375314643,929684203704,"(0.5911490321159363, 0.46532124280929565)","(50.963172912597656, 166.27392578125, 53.68175506591797)",1,4.2340087890625,1,"(-105.36414337158203, -141.19448852539062, 801.2138061523438)",1,"(0.5933248400688171, 0.4877519905567169)","(52.164215087890625, 159.72921752929688, 51.29963684082031)",1,4.366241455078125,1,"(-38.28008270263672, -140.616943359375, 807.1608276367188)",1
13375331283,929684220345,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5897250771522522, 0.482702374458313)","(50.177146911621094, 161.2025146484375, 51.83590316772461)",1,4.3803558349609375,1,"(-38.3270263671875, -140.5985870361328, 807.3006591796875)",1
13375347325,929684236387,"(0.5868062376976013, 0.46640437841415405)","(48.5659065246582, 165.9579315185547, 53.56673049926758)",1,4.1789093017578125,1,"(-105.48937225341797, -141.1994171142578, 801.2327880859375)",1,"(0.5930389165878296, 0.47802090644836426)","(52.00639343261719, 162.56846618652344, 52.33307647705078)",1,4.3655242919921875,1,"(-38.398250579833984, -140.5615692138672, 807.2106323242188)",1
13375364563,929684253625,"(0.5918135643005371, 0.46796533465385437)","(51.329978942871094, 165.50247192382812, 53.40093994140625)",1,4.2394866943359375,1,"(-105.48590087890625, -141.18833923339844, 801.1505737304688)",1,"(0.5884007811546326, 0.48535531759262085)","(49.44609451293945, 160.428466796875, 51.554168701171875)",1,4.3676300048828125,1,"(-38.400413513183594, -140.53741455078125, 807.08203125)",1
13375381203,929684270265,"(0.5898144245147705, 0.4648236930370331)","(50.22647476196289, 166.41909790039062, 53.73459243774414)",1,4.2377166748046875,1,"(-105.46929931640625, -141.1272430419922, 800.8403930664062)",1,"(0.5930541753768921, 0.4875694215297699)","(52.01482009887695, 159.78245544433594, 51.31901931762695)",1,4.3802032470703125,1,"(-38.41953659057617, -140.47000122070312, 806.7718505859375)",1
13375397245,929684286308,"(0.5931787490844727, 0.4669930338859558)","(52.08356475830078, 165.7861785888672, 53.504180908203125)",1,4.2373046875,1,"(-105.41619110107422, -141.03651428222656, 800.479736328125)",1,"(0.5933712720870972, 0.4815200865268707)","(52.18982696533203, 161.54751586914062, 51.961544036865234)",1,4.36029052734375,1,"(-38.3902702331543, -140.3828582763672, 806.3984375)",1
13375414483,929684303546,"(0.5961992740631104, 0.46697214245796204)","(53.75089645385742, 165.79226684570312, 53.50639343261719)",1,4.236328125,1,"(-105.39746856689453, -141.01370239257812, 800.4053344726562)",1,"(0.5965821743011475, 0.4751201272010803)","(53.96225357055664, 163.41485595703125, 52.641204833984375)",1,4.3681640625,1,"(-38.37997055053711, -140.36361694335938, 806.3048706054688)",1
13375431123,929684320186,"(0.5918306708335876, 0.46159693598747253)","(51.33943557739258, 167.36058044433594, 54.07731628417969)",1,4.2288818359375,1,"(-105.31464385986328, -140.90463256835938, 800.0302124023438)",1,"(0.5906091928482056, 0.48038479685783386)","(50.66513442993164, 161.87876892089844, 52.08207702636719)",1,4.3525238037109375,1,"(-38.32075881958008, -140.2672882080078, 805.9365844726562)",1
