device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
14682852516,930991762666,"(0.509773313999176, 0.6138361692428589)","(6.043466567993164, 122.9408187866211, 37.90977096557617)",1,3.237823486328125,1,"(-69.22376251220703, -101.39801788330078, 789.337158203125)",1,"(0.5118911862373352, 0.5790244936943054)","(7.212553977966309, 133.09803771972656, 41.60670852661133)",1,3.237762451171875,1,"(-7.227327346801758, -101.96382141113281, 792.4049072265625)",1
14682869156,930991779307,"(0.5132542848587036, 0.5995516777038574)","(7.9649786949157715, 127.10871124267578, 39.42673873901367)",1,3.2540740966796875,1,"(-69.21770477294922, -101.43086242675781, 789.6602172851562)",1,"(0.5071058869361877, 0.5822104215621948)","(4.5710296630859375, 132.16845703125, 41.26836395263672)",1,3.24859619140625,1,"(-7.167207717895508, -102.02674865722656, 792.7359008789062)",1
14682885198,930991795349,"(0.5228027105331421, 0.5929074883460999)","(13.235734939575195, 129.0473175048828, 40.132354736328125)",1,3.24798583984375,1,"(-69.28207397460938, -101.55032348632812, 790.646240234375)",1,"(0.5139631628990173, 0.5772121548652649)","(8.356279373168945, 133.62684631347656, 41.799163818359375)",1,3.2640838623046875,1,"(-7.155000686645508, -102.15309143066406, 793.6815795898438)",1
14682902436,930991812587,"(0.5177536606788635, 0.5989114046096802)","(10.448683738708496, 127.2955093383789, 39.494747161865234)",1,3.242462158203125,1,"(-69.27882385253906, -101.5526123046875, 790.6726684570312)",1,"(0.5161879062652588, 0.5788828730583191)","(9.584359169006348, 133.1393585205078, 41.62174606323242)",1,3.257171630859375,1,"(-7.144658088684082, -102.15870666503906, 793.7255249023438)",1
14682919076,930991829227,"(0.5158163905143738, 0.6002514362335205)","(9.37927532196045, 126.90450286865234, 39.352447509765625)",1,3.23797607421875,1,"(-69.26390075683594, -101.54288482666016, 790.5194091796875)",1,"(0.5165132284164429, 0.5870072841644287)","(9.763923645019531, 130.7688446044922, 40.758941650390625)",1,3.2790374755859375,1,"(-7.136754035949707, -102.14537811279297, 793.5994873046875)",1
14682935118,930991845270,"(0.5166041851043701, 0.6071487665176392)","(9.8141450881958, 124.89202880859375, 38.61997985839844)",1,3.26068115234375,1,"(-69.28884887695312, -101.57828521728516, 790.5647583007812)",1,"(0.5130060911178589, 0.6012808084487915)","(7.827978610992432, 126.60418701171875, 39.24314498901367)",1,3.308837890625,1,"(-7.144494533538818, -102.16062927246094, 793.6484375)",1
14682952356,930991862508,"(0.5275848507881165, 0.6038499474525452)","(15.875489234924316, 125.8545913696289, 38.97032928466797)",1,3.2731781005859375,1,"(-69.30712127685547, -101.599609375, 790.5681762695312)",1,"(0.5158243179321289, 0.5876832008361816)","(9.383647918701172, 130.57162475585938, 40.68719482421875)",1,3.294158935546875,1,"(-7.1567254066467285, -102.1759262084961, 793.6528930664062)",1
14682968996,930991879148,"(0.5163050293922424, 0.5893349051475525)","(9.649023056030273, 130.08970642089844, 40.5117073059082)",1,3.243438720703125,1,"(-69.34595489501953, -101.63414001464844, 790.5574340820312)",1,"(0.5149118304252625, 0.5916712880134583)","(8.87993049621582, 129.4080047607422, 40.26366424560547)",1,3.316009521484375,1,"(-7.1879072189331055, -102.19898986816406, 793.6297607421875)",1
14682985038,930991895191,"(0.5190719366073608, 0.599992036819458)","(11.176331520080566, 126.980224609375, 39.37997817993164)",1,3.28680419921875,1,"(-69.40109252929688, -101.68811798095703, 790.4114379882812)",1,"(0.5088815689086914, 0.5994176864624023)","(5.551243782043457, 127.14776611328125, 39.44104766845703)",1,3.33111572265625,1,"(-7.221121788024902, -102.23332214355469, 793.4970092773438)",1
14683002276,930991912429,"(0.5164939761161804, 0.5939890146255493)","(9.753289222717285, 128.7317657470703, 40.017494201660156)",1,3.281097412109375,1,"(-69.42411041259766, -101.70723724365234, 790.3900756835938)",1,"(0.5105797052383423, 0.6068973541259766)","(6.488600254058838, 124.9653549194336, 38.6467170715332)",1,3.34637451171875,1,"(-7.241535186767578, -102.26036834716797, 793.4759521484375)",1
