device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
15124357236,931433274606,"(0.4783070683479309, 0.3823770582675934)","(-11.326020240783691, 190.47509765625, 62.49025344848633)",1,3.014373779296875,1,"(-60.832637786865234, -94.7516860961914, 753.8903198242188)",1,"(0.48152410984039307, 0.32817786931991577)","(-9.550165176391602, 206.2891387939453, 68.2460708618164)",1,3.0447998046875,1,"(0.47726526856422424, -102.04940795898438, 757.3059692382812)",1
15124373877,931433291247,"(0.4814252555370331, 0.37934163212776184)","(-9.604750633239746, 191.36074829101562, 62.812652587890625)",1,3.0091705322265625,1,"(-60.83272933959961, -94.76163482666016, 754.185302734375)",1,"(0.485388845205307, 0.32519111037254333)","(-7.416814804077148, 207.1605987548828, 68.563232421875)",1,3.04302978515625,1,"(0.5023825764656067, -102.07112884521484, 757.6007690429688)",1
15124389919,931433307290,"(0.4859911799430847, 0.3781522810459137)","(-7.084341526031494, 191.7078094482422, 62.938926696777344)",1,3.0072021484375,1,"(-60.855247497558594, -94.79045104980469, 754.5834350585938)",1,"(0.48700761795043945, 0.319322794675827)","(-6.5232415199279785, 208.872802734375, 69.1865005493164)",1,3.0359344482421875,1,"(0.5168583989143372, -102.11094665527344, 757.9845581054688)",1
15124407157,931433324528,"(0.4864141643047333, 0.37793922424316406)","(-6.850861549377441, 191.7699432373047, 62.96155548095703)",1,3.0061798095703125,1,"(-60.86079406738281, -94.79415893554688, 754.6514282226562)",1,"(0.48741257190704346, 0.3172450065612793)","(-6.299727439880371, 209.4790802001953, 69.40714263916016)",1,3.0337371826171875,1,"(0.5198339223861694, -102.12037658691406, 758.0576171875)",1
15124423796,931433341167,"(0.4838511049747467, 0.37700286507606506)","(-8.265667915344238, 192.04315185546875, 63.06101989746094)",1,2.99505615234375,1,"(-60.867061614990234, -94.8016357421875, 754.7214965820312)",1,"(0.49003419280052185, 0.31955665349960327)","(-4.852578163146973, 208.80459594726562, 69.16167449951172)",1,3.0337677001953125,1,"(0.5205796360969543, -102.13374328613281, 758.1240234375)",1
15124439839,931433357211,"(0.4826681613922119, 0.3668748140335083)","(-8.918665885925293, 194.9982452392578, 64.13660430908203)",1,2.982086181640625,1,"(-60.86172866821289, -94.81021881103516, 754.685546875)",1,"(0.48852044343948364, 0.3265346586704254)","(-5.688177585601807, 206.76861572265625, 68.42060089111328)",1,3.0325775146484375,1,"(0.522267758846283, -102.14728546142578, 758.0901489257812)",1
15124457077,931433374449,"(0.48290687799453735, 0.3652806580066681)","(-8.786858558654785, 195.46337890625, 64.30590057373047)",1,2.989715576171875,1,"(-60.860599517822266, -94.81993865966797, 754.688720703125)",1,"(0.48909467458724976, 0.3284892141819)","(-5.3712158203125, 206.1983184814453, 68.2130126953125)",1,3.03839111328125,1,"(0.5258265733718872, -102.16390991210938, 758.0943603515625)",1
15124473717,931433391089,"(0.4851548671722412, 0.3748454451560974)","(-7.545964241027832, 192.672607421875, 63.29011535644531)",1,2.99847412109375,1,"(-60.86125946044922, -94.8394775390625, 754.7135620117188)",1,"(0.49042683839797974, 0.32989537715911865)","(-4.635819911956787, 205.7880096435547, 68.06366729736328)",1,3.03216552734375,1,"(0.5412619709968567, -102.19017028808594, 758.1195068359375)",1
15124489758,931433407130,"(0.48336413502693176, 0.3838174343109131)","(-8.534459114074707, 190.05479431152344, 62.33729934692383)",1,3.0001068115234375,1,"(-60.81600570678711, -94.83707427978516, 754.6585083007812)",1,"(0.49008193612098694, 0.324962317943573)","(-4.8262176513671875, 207.2273406982422, 68.58761596679688)",1,3.0184478759765625,1,"(0.5870512127876282, -102.20733642578125, 758.0662841796875)",1
15124506996,931433424369,"(0.4855693578720093, 0.3816317319869995)","(-7.317176342010498, 190.69256591796875, 62.56941604614258)",1,3.0063629150390625,1,"(-60.80073547363281, -94.82942962646484, 754.6034545898438)",1,"(0.48821189999580383, 0.3198263645172119)","(-5.858509540557861, 208.7259063720703, 69.13306427001953)",1,3.0205078125,1,"(0.6180108189582825, -102.21027374267578, 757.9937133789062)",1
