device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
14462114339,930771020917,"(0.548673689365387, 0.28025195002555847)","(27.516639709472656, 220.2727508544922, 73.33576202392578)",1,3.941436767578125,1,"(-21.61313247680664, -80.27140045166016, 883.1361694335938)",1,"(0.5379295945167542, 0.29695940017700195)","(21.585853576660156, 215.39794921875, 71.56145477294922)",1,4.0312347412109375,1,"(39.98521423339844, -79.58847045898438, 882.4310302734375)",1
14462131577,930771038155,"(0.5514355301856995, 0.27569788694381714)","(29.041139602661133, 221.60154724121094, 73.81939697265625)",1,3.952972412109375,1,"(-21.566162109375, -80.22938537597656, 883.489501953125)",1,"(0.5413269400596619, 0.2881857454776764)","(23.461177825927734, 217.95790100097656, 72.49320220947266)",1,4.0257568359375,1,"(40.044254302978516, -79.55735778808594, 882.7691650390625)",1
14462148217,930771054795,"(0.5585025548934937, 0.2899785339832306)","(32.942195892333984, 217.43479919433594, 72.30278778076172)",1,3.9417724609375,1,"(-21.62018394470215, -80.12263488769531, 883.488525390625)",1,"(0.5418288707733154, 0.27412906289100647)","(23.738235473632812, 222.05931091308594, 73.98595428466797)",1,4.0135955810546875,1,"(40.04768371582031, -79.5192642211914, 882.774658203125)",1
14462164259,930771070838,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5356980562210083, 0.2811552584171295)","(20.354036331176758, 220.00924682617188, 73.23977661132812)",1,3.9967041015625,1,"(39.99241256713867, -79.58841705322266, 882.1495361328125)",1
14462181497,930771088076,"(0.5490022897720337, 0.25442245602607727)","(27.697988510131836, 227.80923461914062, 76.0787582397461)",1,4.0135345458984375,1,"(-21.72003173828125, -80.4867935180664, 883.1685180664062)",1,"(0.5399026274681091, 0.28112778067588806)","(22.675004959106445, 220.0172576904297, 73.24268341064453)",1,4.0064697265625,1,"(39.97086715698242, -79.72838592529297, 882.3421020507812)",1
14462198137,930771104716,"(0.5350639820098877, 0.23955859243869781)","(20.003999710083008, 232.14614868164062, 77.65729522705078)",1,4.0013580322265625,1,"(-21.759761810302734, -80.82162475585938, 883.427490234375)",1,"(0.5477725863456726, 0.2962665557861328)","(27.019248962402344, 215.60009765625, 71.63502502441406)",1,4.007110595703125,1,"(39.88056564331055, -80.20759582519531, 882.6907958984375)",1
14462214179,930771120759,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5499716997146606, 0.29033130407333374)","(28.233144760131836, 217.33187866210938, 72.26529693603516)",1,3.98956298828125,1,"(39.81261444091797, -80.99945831298828, 883.0732421875)",1
14462231417,930771137997,"(0.5451630353927612, 0.25540199875831604)","(25.578731536865234, 227.5233917236328, 75.97471618652344)",1,3.995819091796875,1,"(-21.900659561157227, -82.34111785888672, 884.1204833984375)",1,"(0.5425102114677429, 0.2903323471546173)","(24.11438751220703, 217.33155822753906, 72.26521301269531)",1,3.9980316162109375,1,"(39.80990219116211, -81.39374542236328, 883.2538452148438)",1
14462248057,930771154637,"(0.5606393218040466, 0.3001341223716736)","(34.12173080444336, 214.47166442871094, 71.22425079345703)",1,3.92877197265625,1,"(-21.94330406188965, -82.878173828125, 884.3190307617188)",1,"(0.5451117753982544, 0.2995876967906952)","(25.550424575805664, 214.63108825683594, 71.28228759765625)",1,3.9942474365234375,1,"(39.81114196777344, -82.35791778564453, 883.630615234375)",1
14462264099,930771170679,"(0.5557209849357605, 0.29351645708084106)","(31.40675163269043, 216.40249633789062, 71.92707061767578)",1,3.9234771728515625,1,"(-21.943355560302734, -83.9063491821289, 884.5066528320312)",1,"(0.547757089138031, 0.2995407283306122)","(27.010629653930664, 214.644775390625, 71.28731536865234)",1,3.9757843017578125,1,"(39.821693420410156, -83.3691635131836, 883.82470703125)",1
14462281337,930771187918,"(0.5585941672325134, 0.2926592528820038)","(32.99272537231445, 216.65260314941406, 72.01811981201172)",1,3.907684326171875,1,"(-21.949411392211914, -84.32474517822266, 884.4912719726562)",1,"(0.5387439727783203, 0.284412682056427)","(22.035354614257812, 219.05877685546875, 72.89388275146484)",1,3.9275970458984375,1,"(39.80851745605469, -83.76567840576172, 883.8189697265625)",1
