device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
14221302701,930530205403,"(0.6890446543693542, 0.7245513200759888)","(105.00191497802734, 90.6367416381836, 26.152076721191406)",1,3.6195526123046875,1,"(-29.106857299804688, -77.61919403076172, 758.0418701171875)",1,"(0.694265604019165, 0.7280731201171875)","(107.88385009765625, 89.60917663574219, 25.7780704498291)",1,3.594146728515625,1,"(32.94658279418945, -77.7486343383789, 757.9032592773438)",1
14221319341,930530222043,"(0.6893686056137085, 0.7226143479347229)","(105.18070220947266, 91.20191192626953, 26.357749938964844)",1,3.6226043701171875,1,"(-29.115766525268555, -77.58631896972656, 757.9461059570312)",1,"(0.697401762008667, 0.7370478510856628)","(109.6150131225586, 86.99057006835938, 24.82495880126953)",1,3.6099853515625,1,"(32.92681121826172, -77.70442962646484, 757.80517578125)",1
14221335383,930530238085,"(0.688021183013916, 0.7193480730056763)","(104.43694305419922, 92.15492248535156, 26.704639434814453)",1,3.61541748046875,1,"(-29.13608169555664, -77.5751724243164, 758.1580200195312)",1,"(0.7011330127716064, 0.7453963160514832)","(111.67469787597656, 84.55467987060547, 23.938383102416992)",1,3.600921630859375,1,"(32.916812896728516, -77.66732788085938, 758.0182495117188)",1
14221352621,930530255323,"(0.6873778104782104, 0.7214412093162537)","(104.08174896240234, 91.54421997070312, 26.482378005981445)",1,3.625579833984375,1,"(-29.151111602783203, -77.56855773925781, 758.2693481445312)",1,"(0.7023120522499084, 0.740739643573761)","(112.32549285888672, 85.91338348388672, 24.43292808532715)",1,3.595245361328125,1,"(32.915679931640625, -77.66864013671875, 758.1248168945312)",1
14221369261,930530271964,"(0.6869399547576904, 0.7223013639450073)","(103.84008026123047, 91.29322814941406, 26.3909912109375)",1,3.62274169921875,1,"(-29.17300796508789, -77.54772186279297, 758.2777099609375)",1,"(0.7018560767173767, 0.7404552102088928)","(112.07383728027344, 85.9963607788086, 24.463098526000977)",1,3.607879638671875,1,"(32.88533401489258, -77.65451049804688, 758.1350708007812)",1
14221385303,930530288006,"(0.6867476105690002, 0.7256901860237122)","(103.73388671875, 90.304443359375, 26.031160354614258)",1,3.603912353515625,1,"(-29.202608108520508, -77.51642608642578, 758.0819091796875)",1,"(0.7023352980613708, 0.7389032244682312)","(112.33834838867188, 86.44918060302734, 24.627918243408203)",1,3.6001129150390625,1,"(32.84278106689453, -77.62757110595703, 757.942626953125)",1
14221402541,930530305244,"(0.6892690062522888, 0.7260997891426086)","(105.12571716308594, 90.18489074707031, 25.987680435180664)",1,3.6119232177734375,1,"(-29.227676391601562, -77.52137756347656, 758.0852661132812)",1,"(0.7039649486541748, 0.7451022863388062)","(113.2378921508789, 84.64047241210938, 23.96957778930664)",1,3.5928955078125,1,"(32.81804656982422, -77.62024688720703, 757.9478759765625)",1
14221419181,930530321885,"(0.6912970542907715, 0.7264078855514526)","(106.24519348144531, 90.09504699707031, 25.954912185668945)",1,3.6097412109375,1,"(-29.275466918945312, -77.54853057861328, 758.2357177734375)",1,"(0.6998248100280762, 0.7443115711212158)","(110.95252227783203, 84.87120819091797, 24.05357551574707)",1,3.589691162109375,1,"(32.813926696777344, -77.63341522216797, 758.1065063476562)",1
14221435223,930530337927,"(0.695949912071228, 0.7231379151344299)","(108.81356811523438, 91.04914093017578, 26.302127838134766)",1,3.609161376953125,1,"(-29.33518409729004, -77.60213470458984, 758.5360107421875)",1,"(0.6965977549552917, 0.7416682243347168)","(109.17115783691406, 85.64247131347656, 24.33428955078125)",1,3.6147308349609375,1,"(32.80772399902344, -77.67070770263672, 758.4060668945312)",1
14221452461,930530355165,"(0.6962493658065796, 0.7244679927825928)","(108.97887420654297, 90.66108703613281, 26.1608943939209)",1,3.6309967041015625,1,"(-29.35595703125, -77.61943054199219, 758.6087036132812)",1,"(0.6960694193840027, 0.7415190935134888)","(108.87955474853516, 85.68594360351562, 24.350122451782227)",1,3.60760498046875,1,"(32.80150604248047, -77.68412780761719, 758.4796142578125)",1
